Housing_Id,heating_features,cooling_features
188,Forced Air - Gas,"AC Central, Ceiling Fans"
189,"Forced air, Gas",Other
190,Forced air,Central
191,Missing,Missing
192,"Forced air, Gas",None
193,"Heat pump, Gas",Central
194,Wall,None
195,Missing,Missing
196,"Central, Wall Furnace",None
197,Other,Central
198,Central,Missing
200,Central,Missing
201,Central,Missing
202,Radiant,Missing
203,Central Forced Air,None
205,Central,Central
206,Central,Central Air
207,"Central, Floor Furnace, Gas",Missing
208,Wall Furnace,Evaporative Cooling
209,"Forced Air - Elec, Fagh Guest House","AC Central, Dual Cooling"
211,Electric,Missing
212,Central Forced Air,Other
213,Missing,Missing
215,Forced Air,None
216,Central,Central Air
217,"Forced Air, Natural Gas",Ceiling Fan(s)
218,"Central, Heat Pump, Natural Gas","Central Air, Dual, Electric"
219,Other,"Ceiling Fan, Other"
220,Other,Missing
222,Central,Central Air
224,"Propane, Wall Furnace",Evaporative Cooling
225,Central,Central Air
227,Central Forced Air - Gas,"Ceiling Fan, Central AC"
228,Electric,Missing
229,Missing,Missing
232,Missing,None
233,Central Forced Air - Gas,None
234,"Forced air, Propane / Butane",None
235,Central,Missing
237,"Central, Forced Air, Wood, Fireplace(s)","Central Air, Whole House Fan, Electric"
238,Central,Missing
240,"Forced air, Gas",Central
241,Zoned,Wall/Window Unit(s)
242,Gas,Central AC
243,"Forced air, Propane / Butane",None
244,Missing,Missing
245,Central Forced Air - Gas,None
247,"Forced Air, Fireplace(s)",None
249,Central,Missing
251,Missing,Missing
252,Central,Central Air
253,Central Forced Air,Central AC
254,"Woodstove, Other",Missing
255,Central,Central Air
257,"Central, Gas",Missing
258,"Other, Electric",Missing
259,"Central, Radiant",Missing
260,Forced Air,Ceiling Fan(s)
261,Missing,Missing
262,Gas,None
263,Central,Central Air
264,Central Forced Air,Central AC
266,Central,Missing
267,Central,Air Conditioning
268,Missing,Missing
269,Missing,Missing
270,Central Forced Air - Gas,None
271,Central,Central Air
272,"Forced air, Gas",Central
273,Central Forced Air,"Ceiling Fan, Central AC"
276,Central,Missing
277,Forced Air,Central AC
278,Central Forced Air,None
279,Forced Air,None
281,Forced Air,Other
283,Central Forced Air,None
286,Central,Central Air
288,"Baseboard, Electric",Missing
289,"Central, Gas",Missing
291,Central,Central Air
292,Central Forced Air,Central AC
293,Wall Furnace,"Wall/Window Unit(s), Gas"
294,"Forced air, Gas",Central
295,Solar and Gas,None
297,Missing,None
299,"Forced air, Gas",Central
300,None,None
302,Missing,Missing
303,Central,Central Air
305,Forced air,Central
306,Wall Furnace,None
307,Other,Missing
309,Central,Central Air
310,"Forced air, Gas",Central
311,Missing,Missing
314,Wall Furnace,None
315,"Gas, Heating - 2+ Zones, Wall Furnace, Fireplace, Stove Heater",Window / Wall Unit
316,Gas,Central
318,Baseboard,Missing
319,Other,Central
320,"Forced air, Heat pump, Other, Gas",Refrigerator
323,Central Forced Air - Gas,Central AC
324,Floor Furnace,None
326,Wall Heater,None
327,Missing,Missing
328,"Forced Air, Electric",Central Air
329,Central,Central Air
331,Missing,Missing
333,Missing,Missing
334,Central,None
335,Central Forced Air - Gas,None
336,Central,Central Air
337,Central,Central Air
339,Missing,Missing
340,Forced Air,Central AC
342,"Forced air, Gas",Central
343,"Central, Radiant",Central Air
344,Missing,Zoned
345,Missing,Missing
347,Central,Missing
348,Central,Central Air
349,Missing,Central Air
350,Solar,Ceiling Fan(s)
351,Central,Central Air
352,Missing,Missing
353,"Wall Furnace, Fireplace(s)","Central Air, Wall/Window Unit(s)"
354,Wall Furnace,Ceiling Fan
356,"Central, Fireplace(s)",Central Air
357,"Propane, Wood, Wood Stove, Baseboard, Fireplace(s)",None
358,Forced Air,Ceiling Fan(s)
359,Central Forced Air - Gas,Central AC
360,Central Forced Air - Gas,None
362,Central,Central Air
363,Wall Furnace,Ceiling Fan
364,Central Forced Air,Central AC
365,Central Forced Air,Central AC
366,Forced air,Central
368,Central Forced Air - Gas,None
369,Forced Air,None
370,Central,Central Air
371,"Central Forced Air, Central Forced Air - Gas",None
372,Central,Central Air
373,"Central, Electric","Central Air, Electric"
374,Central,Central Air
377,Central Forced Air,Central AC
378,Central Forced Air,None
379,Central,None
380,Radiant Floors,None
381,"Central Forced Air, Fireplace","Ceiling Fan, Central AC"
382,"Central, Gas",Missing
383,Central,Missing
384,Wall Furnace,None
385,"None, Other",None
386,"Central, Electric, Gas, Hot Water",Missing
387,Missing,Missing
388,Missing,See Remarks
390,Space Heater,None
391,Central,Missing
392,Missing,Missing
393,Floor Furnace,None
394,Forced air,Central
395,"Forced Air, Fireplace",None
396,Forced Air - Gas,"AC Central, Ceiling Fans"
397,Central Forced Air,None
399,"Propane, Woodstove, Forced Air",Missing
401,"Central, Fireplace(s), Forced Air, Natural Gas","Central Air, Dual, Gas"
405,Missing,None
406,Central,Central Air
407,Baseboard,Missing
409,Wall Furnace,None
410,Radiant,Missing
411,Missing,Central Air
413,"Gas, Wall Furnace",None
414,Central,Central
415,Central,Central Air
417,Central Forced Air - Gas,Ceiling Fan
418,Missing,None
419,"Fireplace, Central Forced Air - Gas",None
421,Central,Missing
422,Forced air,None
423,"Other, Other",None
425,Gas,None
426,Missing,None
428,Baseboard,None
429,Gravity,Central Air
430,"Forced air, Gas",Other
431,"Forced air, Gas",None
432,Central,Central Air
435,Central,Central Air
436,Central,Missing
438,Forced Air - Gas,"AC Central, Ceiling Fans"
439,Central,Central Air
442,"Central, Gas",Missing
443,"Radiant, Wall Furnace",Missing
444,Missing,None
445,"Gas, Wall Furnace",Missing
446,Wall,Other
447,Wall,Window Unit(s)
449,"Central, Gas",Missing
450,Missing,Missing
452,Missing,Missing
453,Heat Pump,Heat Pump
454,Missing,Window Unit(s)
455,Central,Missing
456,Wall Furnace,Missing
457,Central,"Central Air, High Efficiency"
458,Other,Missing
459,Wall Furnace,Missing
460,"Central, Fireplace(s)",Central Air
461,Central,Missing
462,Central,Central Air
463,Central,Missing
464,"Electric, Space Heater",None
465,Missing,None
466,Wall,Missing
470,Central,Central Air
471,Central Forced Air - Gas,None
474,"Fireplace(s), Forced Air",Missing
475,Missing,Missing
476,Wall Furnace,None
477,Forced Air,None
478,Central,Central Air
479,Central Forced Air,Central AC
480,Missing,Missing
481,Missing,None
482,Missing,Missing
485,Central,Central Air
486,Missing,Wall/Window Unit(s)
488,"Other, Other",None
489,Missing,None
490,Missing,Missing
491,Missing,Central Air
492,Central,Central Air
493,Central,Central
494,Central,Central Air
497,"Central, Gas",Missing
498,Missing,None
499,Wall Furnace,None
500,Missing,None
501,"Central, Gas, Hot Water",Central Air
502,"Fireplace, Central Forced Air - Gas, Propane",None
504,Central,Central Air
506,Missing,None
510,Forced air,Central
511,Central Forced Air,Central AC
512,Forced Air,None
513,Central,None
514,Central Forced Air,None
515,Missing,Missing
516,"Electric, Baseboard",Window / Wall Unit
517,Missing,None
518,Central,Central Air
520,"Gas, Wall Furnace",None
521,Central,Missing
522,Central,Central Air
524,Missing,None
525,Forced Air,None
526,Missing,None
527,Central Forced Air,None
529,Central Forced Air - Gas,Missing
530,"Central Forced Air, Gas",Ceiling Fan
531,Central,Central Air
532,Missing,Wall/Window Unit(s)
533,"Central, Gas",Missing
535,"Other, Propane / Butane, Wood / Pellet",None
536,Central,Central Air
537,Central Forced Air - Gas,Central AC
538,Central,Central Air
539,"Other, Gas",None
542,Other,None
543,Central,Air Conditioning
544,Missing,Missing
545,Other,Missing
547,Central,Central Air
548,"Central, Gas",Missing
549,Central Forced Air - Gas,None
550,Central Forced Air - Gas,None
551,Central,Central Air
552,Wall Furnace,None
553,Central,Central
554,"Central, Natural Gas",Central Air
555,Missing,Missing
556,Forced air,Central
557,Missing,Missing
560,Natural Gas,"Ceiling Fan(s), Central Air"
561,Central Forced Air,Central AC
563,Central Forced Air,None
564,Missing,"Central Air, See Remarks"
565,Central Forced Air,None
566,"Central, Gas",Missing
569,Natural Gas,None
570,Missing,Missing
572,Missing,None
573,Wall Furnace,Ceiling Fan
575,"Gas, Forced Air, Fireplace, Propane",None
576,Central,Central Air
577,"Forced air, Gas",None
579,Forced Air,"Multi-Zone, Central AC"
580,Central Forced Air,Central AC
581,Wall Furnace,Window / Wall Unit
582,Central,Central Air
583,Central,Central Air
585,Gas,Central Air
586,Central,Central Air
587,Forced air,None
588,Missing,None
590,Wall Furnace,Central
591,Missing,Missing
592,Missing,Central Air
594,Missing,Missing
595,"Forced air, Heat pump",Central
596,Missing,See Remarks
598,Central,Central Air
600,Missing,Missing
601,Central,Central Air
602,Central,Central Air
604,Forced air,Other
605,Missing,Other
606,Missing,Missing
607,Missing,None
608,Heat Pump,Evaporative
609,Central,Central
610,Central Forced Air - Gas,None
611,Forced Air,Central AC
612,Missing,Missing
613,Central,Central Air
616,Central,Central Air
617,Floor Furnace,None
618,Missing,See Remarks
619,Central,Missing
620,"Forced air, Other",Central
621,Forced Air - Gas,Evap Central
622,Missing,None
623,Central Forced Air,Central AC
624,Central,Central Air
626,Central,Central
628,Central Forced Air - Gas,Ceiling Fan
629,Gas,None
630,Missing,Missing
632,Missing,Central Air
633,"Forced air, Gas",Central
634,Baseboard,None
635,Central Forced Air,Central
636,Central,Central Air
638,Central,Central Air
639,Missing,Missing
641,Central,Central Air
642,Central Forced Air - Gas,"Ceiling Fan, Central AC"
643,Central,Central Air
646,Central Forced Air - Gas,Central AC
648,Central,Central Air
651,Electric,Other
653,Wall Furnace,None
654,"Forced air, Gas",Central
655,Central,Central Air
657,Central Forced Air,None
658,"Forced air, Gas",None
659,Central Forced Air,None
660,Gas,Missing
662,Central Forced Air,None
663,"Forced air, Gas",Central
664,Central,"Central Air, Electric"
665,Forced Air,Central Air
666,Forced air,Other
667,Central,Central Air
668,"Central, Gas",Missing
669,Missing,None
670,"Central, Gas",Missing
672,Central Forced Air,Central AC
673,"Central, Steam",Missing
674,Wall,Missing
676,Central Forced Air,None
678,Other,Other
679,Central Forced Air - Gas,Central AC
684,"Forced air, Propane / Butane",Missing
685,Forced air,Central
686,"Forced air, Gas",Other
687,"Propane, See Remarks",None
688,Central,Central Air
689,"Electric, Hot Water, None, Solar",Missing
690,Central,Central Air
691,Central,Central
694,Wall Furnace,Window / Wall Unit
695,"Propane, Central","Central Air, Whole House Fan"
696,Central,Central Air
698,Electric,Wall
699,Wall Furnace,None
700,Central,Central Air
701,Wall Furnace,None
702,Other,None
703,Central,Central Air
704,Missing,None
705,Wall,None
707,Central Forced Air,Central AC
708,Central Forced Air,Ceiling Fan
709,Other,None
710,Central,Central Air
712,Central,Central Air
713,"Fireplace, Central Forced Air - Gas",Central AC
714,Missing,None
716,Central Forced Air,Central AC
717,Missing,Central Air
718,Wall Furnace,Ceiling Fan
719,Individual Room Controls,None
720,Central,Central Air
721,Central Forced Air - Gas,Central AC
722,Central,Central Air
723,Electric,Missing
724,Central,Central Air
726,Central,Central Air
727,"Central, Forced Air, Natural Gas",Central Air
728,Central Forced Air,None
729,"Central, Gas",Missing
730,Central Forced Air - Gas,None
731,Forced Air,Central AC
732,"Central, Forced Air","Central Air, Dual"
733,Central,Central Air
734,"Propane, Woodstove, Wall",Missing
735,Forced Air,Central Air
736,Central,Central Air
737,Missing,Missing
739,Central,Missing
740,"Propane, Woodstove, Forced Air",Missing
742,"Central, Fireplace(s)",Central Air
744,Electric,None
745,Other,Missing
746,Central,Central Air
747,Central,Central Air
750,Wall Furnace,Missing
751,Central,Central Air
752,Electric Furnace,Window Unit
753,Floor Furnace,None
754,Wall Furnace,None
755,"Forced air, Gas",Central
756,Wall Furnace,None
757,Central,Central Air
758,Central Forced Air,None
759,Central,Central Air
761,Missing,None
762,Central Forced Air,None
763,Central,Missing
765,"Central, Gas",Missing
766,"Central, Forced Air",Central Air
767,"Individual Room Controls, Other",Window / Wall Unit
768,Central,Central Air
769,Missing,Missing
770,Central,Missing
771,Central,Central Air
773,"Forced air, Gas",None
774,Forced air,None
775,Missing,None
776,Wall Furnace,None
777,Missing,Wall/Window Unit(s)
778,Missing,Missing
779,Central,"Central Air, See Remarks"
781,"None, Other",Wall
782,Central,Central Air
784,Other,None
786,Central,Central Air
787,Central,Central Air
788,"Forced Air, Central Forced Air, Central Forced Air - Gas",Evaporative Cooler
789,Missing,None
791,Other,None
792,Central,Central Air
793,Central,None
795,Electric,Missing
796,Central,Central Air
797,Central Forced Air,Central AC
798,Central Forced Air,Central AC
799,Missing,Central Air
800,Other,None
801,Central,Central Air
802,Central,Central Air
803,"Forced air, Other, Gas",Central
805,Central Forced Air - Gas,None
806,Central Forced Air,Other
807,"Forced air, Stove, Gas","Central, Other"
808,Central,Central Air
809,Central,Central Air
810,Central Forced Air - Gas,None
811,Wall Furnace,Wall/Window Unit(s)
813,Missing,See Remarks
814,Wall Furnace,Ceiling Fan(s)
815,"Wall Furnace, Stove - Wood",None
817,Central Forced Air,Other
818,Central,None
820,"Forced Air, Floor Furnace",Central AC
821,Propane,Central AC
822,"Natural Gas, Central",Central Air
823,Central,Central
825,Gas,Central AC
827,Central,Central Air
828,Central,Central Air
830,"None, Forced air",Other
831,Gas,Central
832,"Gas, Forced Air",Central AC
833,Wall Furnace,None
834,Central,Missing
835,Central,Central Air
837,Central,Central Air
838,Missing,Other
839,Zoned,Zoned
841,Forced Air,None
843,Central Forced Air - Gas,Central AC
844,Missing,"Evaporative, Wall"
846,Central,Missing
847,"Gas, Forced Air",Central AC
848,Central,Central Air
849,Central,Central Air
850,"Central, Gas",Missing
851,Wall Furnace,Central Air
852,Central Forced Air,None
855,Central,Central
857,Baseboard,None
858,Central,None
859,Central,Missing
860,Forced air,Central
862,Central,Central Air
863,Missing,None
864,Other,Missing
866,Central,Central Air
867,Central Forced Air,Central AC
868,"Baseboard, Central, Electric, Fireplace(s), Forced Air, Propane, Wood, Wood Stove",Missing
869,Missing,Missing
871,Missing,Missing
873,Central,Central
874,Central,Missing
876,"Electric, Other","Central Air, Other"
877,Central,Central Air
878,Steam,Missing
880,Wall Furnace,None
881,Missing,Missing
883,Other,None
884,Electric,Missing
885,Central,Missing
886,Wall Furnace,None
888,Missing,None
889,Central,Missing
891,Missing,Room Air
892,Central,Central
894,Forced Air,Missing
895,Central Forced Air,None
896,Central,Central Air
897,"Stove, wood",Central
898,Central,Central Air
899,Central,Central Air
900,Radiant,Missing
901,Forced Air,None
902,Wall Furnace,None
904,Central,Central Air
905,Missing,Missing
907,"Wall Furnace, Floor Furnace, Propane",None
908,Central,Missing
909,Central,Central Air
910,Central,"Central Air, Dual"
911,Central Forced Air - Gas,None
912,Missing,Missing
914,Central,Central Air
915,Central,Central Air
916,Missing,Missing
917,Forced Air,None
919,Central,Central Air
920,Gas,None
921,None,None
922,Central,Central Air
923,"Forced air, Gas",Central
924,Central Forced Air,None
927,"Central, Gas",Missing
928,Central,Central Air
930,"Natural Gas, Forced Air","Central Air, Gas"
931,Central,Central Air
932,Central Forced Air,Central AC
933,Missing,Missing
934,"Central, Gas",Missing
935,Baseboard,Missing
936,Forced air,None
937,Wood Stove,None
940,"Heat Pump, Radiant Floor","Zoned, Ceiling Fan(s)"
941,Central,Central Air
942,Central,Central Air
943,"Forced Air, Individual Rm Controls",None
944,Central,"Central, Air Conditioning"
946,Central Forced Air,None
947,Missing,Missing
948,Floor Furnace,"Electric, Gas"
949,"Central, Gas",Missing
951,Missing,Missing
952,Gas,Central
953,Central Forced Air - Gas,"Ceiling Fan, Central AC"
956,Central Forced Air - Gas,Central AC
957,Central,Central Air
959,Central,Central Air
960,Missing,Missing
961,Central Forced Air,None
962,Central,Central Air
963,"Forced air, Gas",None
966,"Central, Gas",Missing
968,Missing,Missing
971,Central Forced Air,Central AC
972,Central,Central Air
973,Central,Central Air
976,Missing,Missing
978,Propane,Central Air
979,Central,Central Air
980,Missing,Missing
982,Wall Furnace,None
984,"Central, Gas",Missing
985,Radiant,Missing
986,Central,Central Air
987,Central,Central Air
988,Wall Furnace,None
991,"Other, Gas","Refrigerator, Central"
992,Central Forced Air - Gas,Central AC
993,Central,Missing
994,Wall Furnace,Missing
995,See Remarks,See Remarks
996,Hot Water,Window Unit(s)
997,Missing,Missing
998,Missing,None
999,Central,Central Air
1000,Wall Furnace,Ceiling Fan
1002,Missing,Missing
1003,Central,Missing
1004,"Forced air, Other, Gas",Central
1005,Wall Furnace,None
1007,Missing,Missing
1008,Missing,Missing
1010,Central,Central Air
1012,Wall Furnace,None
1014,"Central, Natural Gas, See Remarks","Central Air, See Remarks"
1015,Wall Furnace,None
1016,"Forced air, Gas",Missing
1018,Wall Furnace,None
1019,Central Forced Air,Central AC
1020,Central,Central Air
1021,Central,Central Air
1022,Heat Pump,Heat Pump
1026,Missing,Wall
1027,Central Forced Air - Gas,None
1028,Other,Missing
1029,Forced Air - Gas,AC Central
1030,Central,"Central Air, Ceiling Fan(s)"
1031,"Forced air, Gas",Central
1032,Forced Air,Central Air
1033,Missing,See Remarks
1034,Central,Central Air
1035,Central,Missing
1036,Zoned,"Ceiling Fan(s), Zoned"
1037,Other,Central
1038,Central,Central Air
1040,Central Forced Air,Central AC
1041,Missing,None
1043,"Wall Furnace, Fireplace",None
1044,Wall Furnace,"Ceiling Fan, Window / Wall Unit"
1045,Missing,Missing
1046,"Gas, Radiant, Wall Furnace, Solar",None
1049,Missing,Missing
1052,Individual Room Controls,None
1053,Steam,Missing
1054,Central,Central Air
1055,Central,Central Air
1056,Forced Air,None
1057,Central,Central Air
1059,Central,Central Air
1060,Missing,Missing
1061,Central,Central Air
1062,Wall Furnace,None
1063,"Forced air, Gas",None
1064,"Forced air, Electric",Missing
1065,"Stove, Electric, Gas",Refrigerator
1066,Central,Central Air
1067,Wall Furnace,None
1068,Forced air,Central
1069,Baseboard,Window / Wall Unit
1070,Floor Furnace,Missing
1071,Central Forced Air,Ceiling Fan
1072,Central Forced Air,Central AC
1073,Central,Central
1074,Forced air,None
1076,"Central, Forced Air",Central Air
1077,"Gas, Wall Furnace",None
1078,Central,Central Air
1079,"Wall, Gas",None
1080,"None, Other",Other
1082,"Forced air, Gas",Other
1083,Wall Furnace,"Ceiling Fan(s), Central Air"
1086,Central,None
1087,Central,Central
1088,"Forced air, Gas",Central
1089,Wall Furnace,None
1090,Central,Central Air
1091,"Central, Gas",Missing
1092,Central,Central Air
1094,Central Forced Air - Gas,Ceiling Fan
1096,Central Forced Air,Central AC
1099,Central Forced Air - Gas,Central AC
1100,Central Forced Air,Central AC
1101,"Central, Electric, Hot Water",Missing
1102,"Central Forced Air - Gas, Propane",None
1103,Missing,Missing
1104,Central,"Central Air, Electric"
1105,Electric,Missing
1106,Central,"Central Air, Ceiling Fan(s)"
1107,Central,Central Air
1109,FAG,Central
1110,Central Forced Air - Gas,Central AC
1112,Other,Missing
1113,Central,Missing
1114,"Forced Air, Central Forced Air, Central Forced Air - Gas",Central AC
1115,Central,Missing
1116,Forced air,Central
1119,"Central, Gas",Missing
1121,Central Forced Air,Central AC
1122,Baseboard,None
1123,Central,Central Air
1125,Central,None
1126,Fireplace(s),Missing
1128,Forced Air,None
1129,Wall,None
1130,Central,Central Air
1132,Forced Air,None
1134,Electric,Missing
1135,Wall Furnace,Missing
1136,Missing,Missing
1137,Central Forced Air - Gas,None
1138,"Forced Air, Fireplace",None
1139,Central,Central
1141,Central,Central Air
1142,"Forced air, Gas",Central
1143,Missing,None
1144,Central,Central Air
1145,Central,Central Air
1146,"Forced air, Propane / Butane",Central
1147,Central,Central
1148,Central,Central Air
1152,"Central, Forced Air",Central Air
1153,Central,Central Air
1154,Central Forced Air,None
1155,"Wall Furnace, Fireplace",Ceiling Fan
1156,Missing,Missing
1159,Gas Pac,AC Central
1160,Central,Central Air
1162,"Central, Forced Air",Central Air
1163,Heat Pump,Central AC
1164,"Electric, Central","Central Air, Ceiling Fan(s)"
1166,Central Forced Air,None
1167,Central,Central Air
1168,Central,Central Air
1171,Gas,Wall
1175,Other,Central
1176,Wall Furnace,None
1178,Central Forced Air - Gas,None
1179,Central,Central Air
1180,Missing,Missing
1181,Forced Air,Wall/Window Unit(s)
1182,Central,Missing
1183,Central,Missing
1184,Central,"Central, Air Conditioning"
1186,"Forced air, Gas",Central
1187,Missing,Missing
1188,Electric,Missing
1189,Central Forced Air,Central AC
1190,"Central, Fireplace(s)",None
1191,Missing,Missing
1192,Central,Central Air
1193,Central,None
1194,Central,Air Conditioning
1195,Floor Furnace,None
1196,Other,None
1197,Wall Furnace,None
1198,"Other, Electric",Other
1199,Central,Central Air
1200,Central,Central Air
1201,Central Forced Air,None
1202,Central Forced Air,Central
1203,Central,Missing
1204,Central,Central Air
1205,Forced air,None
1206,Central,Central Air
1207,Central Forced Air,Central AC
1208,Forced Air,Central Air
1209,Central,Air Conditioning
1212,Central Forced Air,Central AC
1213,"Forced air, Gas","Central, Solar"
1214,Central,Central Air
1215,"Wall, Electric",None
1216,Central Forced Air - Gas,Central AC
1218,Missing,Central Air
1220,Central,Central Air
1222,"Electric, Wood, Combination, Fireplace(s)",None
1224,Central,Missing
1225,Missing,Missing
1226,"Wall, Gas",None
1227,Other,Missing
1228,Missing,None
1229,Central,Central Air
1231,Central Forced Air - Gas,Central AC
1232,Forced air,Other
1233,Central,Central
1234,Forced air,Central
1236,Central,Central Air
1237,Central Forced Air,Ceiling Fan
1239,Central Forced Air,"Ceiling Fan, Central AC"
1241,Other,Central
1242,Central,Missing
1244,Central Forced Air,Other
1245,Central Forced Air,Central AC
1246,Forced air,Other
1247,Forced Air,None
1248,Central Forced Air,Central AC
1251,"Forced air, Electric, Solar","Central, Solar"
1253,Floor Furnace,None
1254,Forced air,None
1255,Central,Central Air
1256,Missing,Missing
1257,Floor Furnace,None
1258,Wall Electric,Wall/Window
1262,Missing,Missing
1263,Forced air,Other
1265,"Electric, Baseboard",None
1266,Central,Central Air
1269,Central,Missing
1270,Missing,None
1272,"Gas, Fireplace, Central Forced Air - Gas","Ceiling Fan, Central AC"
1274,"Forced air, Gas",Central
1275,Gas,None
1277,Wall Furnace,Missing
1279,Central,None
1281,Central,Wall/Window Unit(s)
1282,Central,Missing
1284,Central Forced Air - Gas,None
1286,Wall Furnace,None
1288,Central,Missing
1289,Missing,Missing
1291,Forced air,Other
1292,Floor Furnace,None
1296,Central,Central Air
1297,Central,Central Air
1298,Wall,Missing
1299,Central,Central Air
1301,Missing,See Remarks
1303,Wall Furnace,None
1304,"Wall Furnace, Pellet Stove",None
1305,Missing,Missing
1307,Central,Central Air
1309,Central,Central Air
1310,Central Forced Air,None
1313,Central,Missing
1314,"Forced air, Gas",Other
1316,Forced air,None
1317,Missing,See Remarks
1319,"Central, See Remarks",Central Air
1320,Central Forced Air - Gas,Window / Wall Unit
1321,Central Forced Air,Central AC
1322,Central,Central Air
1323,"Forced air, Gas",None
1325,Forced air,Central
1326,Missing,None
1327,Missing,Missing
1328,Central,Central Air
1329,"Woodstove, Wall",Missing
1330,Forced Air,"Ceiling Fan(s), Central Air"
1331,Central,Central Air
1332,Forced Air,None
1333,Missing,Missing
1334,Radiant,Ceiling Fan
1335,Radiant,Missing
1336,Central,Central Air
1337,Heat Pump,Heat Pump
1338,6,Missing
1339,Central,Central Air
1341,"Baseboard, Electric, Gas",Missing
1344,Central,Missing
1345,Missing,Missing
1346,Other,None
1347,Missing,Missing
1348,Central Forced Air,Central AC
1349,Central Forced Air,Ceiling Fan
1350,"Forced air, Gas",None
1352,"Central Forced Air, Gas",Central AC
1354,Central Forced Air,Central AC
1355,Central,Missing
1356,Other,Missing
1358,"Central, Gas",Missing
1359,"Central, Gas",Missing
1362,Central,Central Air
1364,Central,Central Air
1366,Wall Furnace,None
1367,"Wall Furnace, Stove - Wood",Ceiling Fan
1369,Baseboard,None
1371,Missing,None
