Housing_Id,Housing_type,City,Zip,H_State,Listed_on,Year_built
78,"3 Story, Duplex",San Francisco,94121,CA,2019-10-04,1914
79,SingleFamily,San Francisco,94131,CA,2019-11-02,1965
80,SingleFamily,Los Angeles,90028,CA,2019-07-01,1940
81,SingleFamily,Santa Clara,95051,CA,2017-12-08,1960
82,SingleFamily,Los Angeles,90038,CA,2019-10-25,2014
83,Condo,San Mateo,94401,CA,2019-10-26,1974
84,SingleFamily,San Jose,95124,CA,2019-11-25,1959
85,Condo,San Francisco,94107,CA,2019-09-07,1990
86,SingleFamily,Milpitas,95035,CA,2019-11-07,2001
87,SingleFamily,Los Angeles,90041,CA,2019-11-01,1940
89,SingleFamily,San Francisco,94131,CA,2019-11-08,1965
90,Condo,San Francisco,94109,CA,2019-11-11,1960
91,MobileManufactured,Santa Cruz,95062,CA,2019-07-13,1997
96,SingleFamily,Los Angeles,90066,CA,2019-12-03,1945
97,SingleFamily,San Francisco,94114,CA,2019-11-15,1900
101,Condo,Santa Clara,95054,CA,2019-11-13,2005
102,SingleFamily,Lockwood,93932,CA,2019-09-20,1980
103,SingleFamily,Los Angeles,90002,CA,2019-01-18,1924
106,SingleFamily,Los Angeles,90047,CA,2019-10-15,1924
107,SingleFamily,Los Angeles,90077,CA,2017-09-08,2019
108,Townhouse,Freedom,95019,CA,2017-06-18,1979
109,Condo,San Francisco,94123,CA,2019-09-06,1900
110,SingleFamily,Los Angeles,90026,CA,2019-09-18,1912
112,SingleFamily,Los Angeles,90002,CA,2019-10-07,1959
113,Apartment,Sunnyvale,94089,CA,2019-11-06,2008
114,SingleFamily,Sunnyvale,94087,CA,2019-10-08,1956
115,SingleFamily,San Jose,95111,CA,2019-12-05,1962
116,SingleFamily,Los Angeles,90006,CA,2018-05-03,1924
118,Condo,West Hollywood,90069,CA,2019-09-12,1964
119,SingleFamily,San Mateo,94403,CA,2019-05-29,1965
120,SingleFamily,Ben Lomond,95005,CA,2010-09-04,1947
121,SingleFamily,San Jose,95124,CA,2019-12-18,1955
122,SingleFamily,San Francisco,94122,CA,2020-01-01,1941
123,SingleFamily,Bell Gardens,90201,CA,2019-10-04,1948
124,Condo,Los Angeles,90025,CA,2019-10-31,1989
126,SingleFamily,San Jose,95136,CA,2019-11-08,1980
127,Condo,San Jose,95136,CA,2010-10-24,2005
128,SingleFamily,Palo Alto,94303,CA,2019-10-27,1948
131,Condo,Los Angeles,90004,CA,2019-11-07,2019
132,SingleFamily,Montara,94037,CA,2019-11-03,1976
135,Condo,San Francisco,94109,CA,2019-10-02,1930
136,SingleFamily,San Jose,95120,CA,2019-12-06,1985
137,SingleFamily,Mountain View,94040,CA,2019-11-06,1952
138,SingleFamily,Los Angeles,90066,CA,2019-11-06,2019
139,SingleFamily,Los Angeles,90049,CA,2019-10-18,1940
141,SingleFamily,San Jose,95133,CA,2019-11-22,1978
142,SingleFamily,Los Angeles,90043,CA,2019-10-14,1939
145,SingleFamily,San Jose,95124,CA,2019-11-19,1966
146,SingleFamily,Loleta,95551,CA,2019-09-30,1956
147,SingleFamily,Los Angeles,90068,CA,2019-11-07,1962
148,Condo,Los Angeles,90013,CA,2019-10-30,1912
149,SingleFamily,Los Angeles,90049,CA,2019-10-21,2016
150,SingleFamily,Los Angeles,90019,CA,2019-07-01,1927
153,SingleFamily,Atherton,94027,CA,2019-11-08,1860
154,SingleFamily,Los Angeles,90006,CA,2017-06-26,1904
155,SingleFamily,Los Angeles,90046,CA,2019-07-10,1965
156,SingleFamily,Mountain View,94043,CA,2017-10-19,1988
157,Condo,Los Angeles,90024,CA,2019-08-30,1935
158,SingleFamily,West Hollywood,90069,CA,2019-04-16,1936
164,SingleFamily,Los Angeles,90047,CA,2019-10-30,1947
165,MobileManufactured,San Jose,95131,CA,2019-08-23,1995
166,Condo,Los Angeles,90049,CA,2019-11-22,1973
167,MobileManufactured,Santa Cruz,95062,CA,2019-09-23,1988
168,SingleFamily,Santa Cruz,95060,CA,2017-07-07,1946
169,SingleFamily,Los Angeles,90027,CA,2019-09-16,1922
170,Condo,Los Angeles,90026,CA,2019-12-06,1982
171,SingleFamily,Compton,90222,CA,2019-11-08,1950
172,SingleFamily,Los Angeles,90042,CA,2019-11-15,2019
173,SingleFamily,Los Angeles,90066,CA,2019-10-18,1953
174,SingleFamily,Los Angeles,90032,CA,2019-12-07,1911
175,Condo,San Francisco,94104,CA,2019-10-07,1909
176,SingleFamily,Los Angeles,90023,CA,2019-11-21,1971
177,SingleFamily,San Jose,95111,CA,2017-11-10,1961
178,SingleFamily,San Mateo,94403,CA,2019-11-02,1940
179,SingleFamily,San Jose,95111,CA,2019-11-02,1958
181,SingleFamily,Los Olivos,93441,CA,2019-12-20,2002
182,SingleFamily,Los Angeles,90006,CA,2017-06-26,1914
183,Condo,Los Angeles,90020,CA,2019-10-16,1983
184,Condo,Los Angeles,90012,CA,2019-11-21,1985
185,SingleFamily,Wallace,95254,CA,2019-09-09,2005
186,SingleFamily,Watsonville,95076,CA,2019-03-18,1974
187,Condo,Los Angeles,90061,CA,2019-07-16,2006
188,SingleFamily,Patagonia,85624,AZ,2019-09-09,2009
189,SingleFamily,Palo Alto,94303,CA,2019-11-07,1967
190,SingleFamily,Zamora,95698,CA,2019-08-09,2000
191,SingleFamily,Pacifica,94044,CA,2012-12-21,1951
192,Apartment,Aptos,95003,CA,2019-09-24,1978
193,SingleFamily,Los Gatos,95030,CA,2011-11-09,1950
194,SingleFamily,Los Angeles,90006,CA,2019-10-07,1910
195,SingleFamily,San Francisco,94110,CA,2019-10-18,1900
196,Condo,Culver City,90230,CA,2015-03-25,1971
197,SingleFamily,Santa Cruz,95062,CA,2012-11-21,1988
198,SingleFamily,San Francisco,94132,CA,2019-12-02,1951
200,SingleFamily,Los Angeles,90044,CA,2019-11-26,1929
201,SingleFamily,San Francisco,94116,CA,2019-09-13,1955
202,Condo,San Francisco,94131,CA,2019-09-16,2008
203,SingleFamily,Cupertino,95014,CA,2019-12-10,1958
205,SingleFamily,Los Angeles,90031,CA,2019-11-14,2019
206,Condo,West Hollywood,90069,CA,2019-11-11,1964
207,SingleFamily,San Francisco,94110,CA,2019-10-16,1924
208,SingleFamily,Los Angeles,90044,CA,2019-11-11,1912
209,SingleFamily,Patagonia,85624,AZ,2018-08-27,1976
211,Condo,San Francisco,94109,CA,2019-11-18,2001
212,SingleFamily,San Francisco,94134,CA,2019-11-12,1951
213,Condo,San Francisco,94110,CA,2019-10-18,2007
215,SingleFamily,Pacifica,94044,CA,2019-11-07,1967
216,SingleFamily,Los Angeles,90068,CA,2019-10-04,2004
217,SingleFamily,Campbell,95008,CA,2019-10-04,1980
218,SingleFamily,Los Angeles,90019,CA,2019-11-08,1928
219,SingleFamily,San Jose,95132,CA,2019-11-20,1972
220,Condo,San Jose,95136,CA,2014-09-12,1973
222,Condo,West Hollywood,90069,CA,2013-05-25,1973
224,SingleFamily,Coleville,96107,CA,2019-10-27,1960
225,SingleFamily,Compton,90222,CA,2019-10-22,1951
227,SingleFamily,San Jose,95112,CA,2019-12-06,1918
228,Condo,San Francisco,94102,CA,2019-10-04,1982
229,Condo,Milpitas,95035,CA,2019-10-22,1979
232,SingleFamily,Los Angeles,90044,CA,2019-04-18,1911
233,SingleFamily,Belmont,94002,CA,2019-12-10,1947
234,SingleFamily,Sierra City,96125,CA,2017-06-13,2009
235,SingleFamily,San Francisco,94134,CA,2019-09-10,1934
237,SingleFamily,Le Grand,95333,CA,2019-12-10,1984
238,SingleFamily,Playa Vista,90094,CA,2019-06-28,2011
240,SingleFamily,Santa Clara,95051,CA,2019-11-21,1963
241,SingleFamily,Los Angeles,90033,CA,2019-01-14,1926
242,Condo,Saratoga,95070,CA,2019-11-22,1971
243,SingleFamily,Point Reyes Station,94956,CA,2019-08-06,2001
244,Condo,San Francisco,94117,CA,2019-10-17,1905
245,SingleFamily,South San Francisco,94080,CA,2019-10-04,1983
247,Condo,San Simeon,93452,CA,2019-10-30,1989
249,Condo,San Francisco,94117,CA,2019-12-16,1910
251,SingleFamily,Los Angeles,90019,CA,2019-07-20,1921
252,SingleFamily,Los Angeles,90043,CA,2019-12-06,1929
253,SingleFamily,Saratoga,95070,CA,2019-05-30,1973
254,SingleFamily,Redway,95560,CA,2019-10-29,1948
255,Condo,Beverly Hills,90210,CA,2019-11-04,1980
257,SingleFamily,South San Francisco,94080,CA,2019-11-05,1949
258,Townhouse,Santa Clara,95050,CA,2019-11-14,1980
259,SingleFamily,San Francisco,94118,CA,2019-05-27,1907
260,SingleFamily,San Jose,95112,CA,2019-10-24,1903
261,Condo,San Francisco,94115,CA,2019-11-19,1900
262,SingleFamily,San Bruno,94066,CA,2019-12-12,1952
263,SingleFamily,Los Angeles,90046,CA,2019-07-15,1922
264,SingleFamily,Santa Clara,95050,CA,2019-11-06,1950
266,SingleFamily,San Francisco,94110,CA,2018-09-05,1910
267,SingleFamily,Los Angeles,90049,CA,2013-06-29,2017
268,SingleFamily,San Francisco,94117,CA,2012-09-09,1915
269,Condo,San Francisco,94110,CA,2019-09-05,0
270,SingleFamily,Atherton,94027,CA,2019-09-16,1900
271,Condo,Los Angeles,90012,CA,2019-10-31,1982
272,Condo,Sunnyvale,94085,CA,2019-11-13,1985
273,SingleFamily,Los Gatos,95032,CA,2019-11-12,1969
276,SingleFamily,Playa Vista,90094,CA,2019-09-27,2014
277,Condo,San Jose,95138,CA,2019-11-19,1999
278,SingleFamily,Menlo Park,94025,CA,2019-09-19,1987
279,Townhouse,San Jose,95121,CA,2019-10-30,1972
281,SingleFamily,Sunnyvale,94089,CA,2019-11-16,1957
283,SingleFamily,San Mateo,94403,CA,2019-11-01,1950
286,SingleFamily,Los Angeles,90019,CA,2019-11-20,1922
288,Condo,San Francisco,94105,CA,2019-10-11,1991
289,SingleFamily,San Francisco,94110,CA,2019-10-17,1900
291,SingleFamily,Los Angeles,90066,CA,2019-10-17,1947
292,SingleFamily,San Martin,95046,CA,2019-12-06,1971
293,SingleFamily,Los Angeles,90002,CA,2019-09-10,1927
294,SingleFamily,Redwood City,94062,CA,2018-01-08,1963
295,SingleFamily,Watsonville,95076,CA,2019-11-21,2004
297,SingleFamily,Los Angeles,90044,CA,2019-10-16,1924
299,"Flat, Attached",San Francisco,94109,CA,2019-11-03,1908
300,SingleFamily,San Jose,95127,CA,2011-10-19,1954
302,SingleFamily,Los Angeles,90042,CA,2019-12-02,1929
303,Condo,West Hollywood,90069,CA,2019-11-22,2002
305,SingleFamily,San Jose,95136,CA,2019-12-04,1963
306,SingleFamily,Los Angeles,90002,CA,2019-10-31,1929
307,SingleFamily,Belmont,94002,CA,2017-08-06,1954
309,SingleFamily,Los Angeles,90056,CA,2019-10-28,1961
310,SingleFamily,Milpitas,95035,CA,2019-11-21,1989
311,SingleFamily,San Francisco,94109,CA,2019-09-14,1900
314,SingleFamily,Los Angeles,90032,CA,2019-11-15,1923
315,SingleFamily,Santa Cruz,95060,CA,2019-09-03,1868
316,SingleFamily,Menlo Park,94025,CA,2019-08-12,2008
318,Condo,San Mateo,94403,CA,2019-11-08,1974
319,Condo,Los Angeles,90027,CA,2016-04-04,1966
320,SingleFamily,Los Angeles,90026,CA,2019-02-19,1925
323,Condo,San Jose,95118,CA,2019-10-10,1980
324,SingleFamily,Los Angeles,90062,CA,2019-11-29,1913
326,MultiFamily,Los Angeles,90059,CA,2018-12-12,1949
327,Condo,San Francisco,94107,CA,2019-12-07,2002
328,Condo,Los Angeles,90015,CA,2019-08-03,1983
329,Condo,Los Angeles,90015,CA,2019-09-25,2010
331,SingleFamily,San Francisco,94109,CA,2016-03-17,1908
333,MultiFamily,San Francisco,94124,CA,2019-10-23,1965
334,SingleFamily,Los Angeles,90066,CA,2019-10-30,1971
335,SingleFamily,Mountain View,94041,CA,2019-11-14,1910
336,SingleFamily,Los Angeles,90047,CA,2019-09-25,1925
337,Condo,Los Angeles,90013,CA,2019-09-30,1966
339,SingleFamily,Albion,95410,CA,2019-06-27,1900
340,SingleFamily,Belmont,94002,CA,2019-08-09,1961
342,SingleFamily,San Jose,95111,CA,2019-11-13,1978
343,SingleFamily,Los Angeles,90046,CA,2019-11-15,1953
344,SingleFamily,Duarte,91008,CA,2019-11-01,1963
345,SingleFamily,Los Angeles,90031,CA,2019-12-02,1964
347,SingleFamily,San Francisco,94127,CA,2019-12-05,1940
348,SingleFamily,Los Angeles,90065,CA,2019-08-21,1978
349,SingleFamily,Compton,90220,CA,2019-11-15,1950
350,SingleFamily,San Jose,95127,CA,2019-05-25,1920
351,Condo,Los Angeles,90005,CA,2019-12-10,2006
352,Condo,San Francisco,94121,CA,2019-10-31,1923
353,SingleFamily,Los Angeles,90044,CA,2019-11-09,1912
354,SingleFamily,Capitola,95010,CA,2019-07-24,1954
356,SingleFamily,Los Angeles,90046,CA,2019-08-12,1959
357,SingleFamily,Mt Baldy,91759,CA,2019-07-13,1927
358,SingleFamily,San Mateo,94403,CA,2019-12-02,1951
359,SingleFamily,Belmont,94002,CA,2019-12-05,1951
360,SingleFamily,San Jose,95111,CA,2019-12-05,1979
362,Condo,San Francisco,94107,CA,2019-10-24,2004
363,SingleFamily,San Mateo,94401,CA,2019-08-16,1949
364,SingleFamily,San Jose,95121,CA,2019-11-26,1977
365,SingleFamily,San Jose,95136,CA,2019-12-05,1984
366,"Detached, 3 Story",San Francisco,94121,CA,2019-09-27,1922
368,SingleFamily,San Carlos,94070,CA,2019-10-28,1941
369,Condo,Watsonville,95076,CA,2019-09-04,2006
370,SingleFamily,Los Angeles,90068,CA,2019-06-06,1947
371,Condo,San Carlos,94070,CA,2019-11-15,1973
372,SingleFamily,Los Angeles,90036,CA,2019-11-20,1926
373,Condo,Los Angeles,90067,CA,2019-06-29,1966
374,SingleFamily,Beverly Hills,90210,CA,2018-08-15,1962
377,SingleFamily,San Jose,95122,CA,2019-11-22,1978
378,SingleFamily,South San Francisco,94080,CA,2019-11-07,1953
379,SingleFamily,Beverly Hills,90210,CA,2019-12-10,1953
380,Condo,San Francisco,94121,CA,2019-10-30,2002
381,MobileManufactured,Sunnyvale,94089,CA,2019-07-23,1994
382,SingleFamily,San Francisco,94124,CA,2019-11-01,1950
383,SingleFamily,San Francisco,94112,CA,2019-07-21,1924
384,SingleFamily,Los Angeles,90047,CA,2019-11-15,1935
385,MultiFamily,Los Angeles,90001,CA,2019-07-29,1926
386,SingleFamily,San Francisco,94131,CA,2019-11-06,1961
387,Townhouse,San Francisco,94115,CA,2019-09-12,1977
388,SingleFamily,Bell Gardens,90201,CA,2019-10-30,1963
390,SingleFamily,Santa Cruz,95065,CA,2019-11-11,1931
391,SingleFamily,San Francisco,94122,CA,2019-10-07,1927
392,Condo,Millbrae,94030,CA,2019-11-18,2009
393,SingleFamily,San Carlos,94070,CA,2019-11-01,1946
394,SingleFamily,Clipper Mills,95930,CA,2019-11-27,1980
395,SingleFamily,Watsonville,95076,CA,2019-11-05,1978
396,SingleFamily,Tubac,85646,AZ,2019-10-23,2005
397,SingleFamily,San Jose,95136,CA,2019-12-02,1974
399,SingleFamily,Carlotta,95528,CA,2019-07-31,1978
401,Condo,Los Angeles,90035,CA,2019-09-25,2008
405,SingleFamily,Los Angeles,90062,CA,2019-12-19,1913
406,SingleFamily,Los Angeles,90041,CA,2019-06-03,1922
407,Condo,San Francisco,94103,CA,2019-11-20,1983
409,SingleFamily,Los Angeles,90002,CA,2020-01-02,1940
410,SingleFamily,San Francisco,94131,CA,2019-11-08,1906
411,SingleFamily,Los Angeles,90059,CA,2019-11-08,1946
413,SingleFamily,Redwood City,94061,CA,2019-12-20,1952
414,SingleFamily,Heber,92249,CA,2019-12-03,2006
415,SingleFamily,Los Angeles,90022,CA,2019-11-06,1946
417,SingleFamily,San Jose,95119,CA,2019-10-14,1970
418,SingleFamily,Los Angeles,90011,CA,2019-11-01,1904
419,SingleFamily,Soquel,95073,CA,2019-12-05,1962
421,Townhouse,Los Angeles,90049,CA,2019-09-05,1980
422,SingleFamily,Watsonville,95076,CA,2017-05-05,2005
423,SingleFamily,San Jose,95127,CA,2019-12-05,1974
425,SingleFamily,San Jose,95124,CA,2019-12-04,1959
426,SingleFamily,Los Angeles,90001,CA,2017-07-17,1924
428,SingleFamily,Palo Alto,94303,CA,2019-09-25,1947
429,Condo,San Jose,95110,CA,2019-11-26,2005
430,SingleFamily,Palo Alto,94301,CA,2019-11-09,1989
431,MultiFamily,Los Angeles,90003,CA,2018-11-15,2019
432,Condo,Los Angeles,90024,CA,2019-11-15,1961
435,Condo,Los Angeles,90036,CA,2019-10-03,1928
436,SingleFamily,San Francisco,94131,CA,2019-11-19,1946
438,SingleFamily,Tubac,85646,AZ,2019-05-14,2005
439,Condo,West Hollywood,90069,CA,2019-11-13,1964
442,SingleFamily,San Francisco,94131,CA,2019-11-01,1959
443,Condo,San Francisco,94110,CA,2019-12-23,2008
444,SingleFamily,Los Angeles,90029,CA,2019-05-21,1948
445,SingleFamily,San Francisco,94114,CA,2019-10-18,1908
446,MultiFamily,Los Angeles,90028,CA,2019-09-23,1956
447,SingleFamily,Los Angeles,90018,CA,2019-12-17,1910
449,SingleFamily,San Francisco,94124,CA,2019-11-14,1941
450,SingleFamily,Edison,93220,CA,2019-11-19,1986
452,Condo,San Francisco,94109,CA,2019-10-12,0
453,Townhouse,Tubac,85646,AZ,2019-02-01,2019
454,Condo,San Francisco,94105,CA,2019-11-09,1991
455,SingleFamily,San Francisco,94122,CA,2019-09-12,1940
456,SingleFamily,Los Angeles,90018,CA,2010-01-30,1910
457,SingleFamily,Los Angeles,90039,CA,2019-10-25,1926
458,SingleFamily,Bolinas,94924,CA,2019-08-08,1938
459,SingleFamily,Los Angeles,90062,CA,2019-10-26,1909
460,SingleFamily,Los Angeles,90018,CA,2019-11-23,1911
461,SingleFamily,San Francisco,94116,CA,2019-11-30,1940
462,SingleFamily,Los Angeles,90024,CA,2019-08-06,2018
463,SingleFamily,San Francisco,94134,CA,2019-05-23,1944
464,SingleFamily,San Francisco,94122,CA,2019-12-12,1944
465,SingleFamily,Compton,90221,CA,2019-08-13,1939
466,SingleFamily,Los Angeles,90031,CA,2012-10-16,1902
470,SingleFamily,Los Angeles,90026,CA,2019-11-14,1912
471,SingleFamily,San Bruno,94066,CA,2019-10-25,1957
474,SingleFamily,Beverly Hills,90210,CA,2019-08-28,2017
475,SingleFamily,San Francisco,94115,CA,2009-06-19,1997
476,SingleFamily,Compton,90220,CA,2019-11-20,1937
477,Condo,Mountain View,94043,CA,2019-11-21,1982
478,SingleFamily,Beverly Hills,90210,CA,2019-05-13,2019
479,SingleFamily,San Jose,95121,CA,2019-10-16,1973
480,Unknown,San Francisco,94114,CA,2019-10-14,1910
481,SingleFamily,Compton,90221,CA,2019-11-14,1926
482,SingleFamily,Los Angeles,90042,CA,2019-12-02,1911
485,SingleFamily,Los Angeles,90027,CA,2019-11-11,1934
486,MultiFamily,Los Angeles,90002,CA,2016-01-09,2015
488,SingleFamily,Strawberry,95375,CA,2019-11-27,1992
489,SingleFamily,Compton,90222,CA,2019-11-08,1947
490,SingleFamily,San Jose,95121,CA,2019-09-29,2019
491,SingleFamily,Los Angeles,90001,CA,2019-12-06,1947
492,SingleFamily,Los Angeles,90018,CA,2019-11-01,1910
493,Condo,Los Angeles,90068,CA,2018-05-15,1980
494,SingleFamily,Los Angeles,90027,CA,2019-12-03,1972
497,SingleFamily,San Francisco,94121,CA,2019-11-14,1906
498,SingleFamily,Whitmore,96096,CA,2017-05-08,1955
499,SingleFamily,Compton,90222,CA,2019-07-24,1952
500,SingleFamily,Los Angeles,90034,CA,2019-10-23,1926
501,SingleFamily,San Jose,95122,CA,2019-10-31,1959
502,SingleFamily,Aptos,95003,CA,2019-09-24,1980
504,Condo,Los Angeles,90010,CA,2019-02-04,2009
506,SingleFamily,Los Angeles,90022,CA,2019-06-14,1947
510,SingleFamily,Orosi,93647,CA,2019-12-06,1967
511,Condo,San Jose,95127,CA,2019-10-26,1977
512,SingleFamily,Boulder Creek,95006,CA,2019-09-05,1953
513,SingleFamily,San Francisco,94134,CA,2019-12-04,1911
514,Townhouse,San Jose,95122,CA,2019-10-31,1970
515,Condo,Palo Alto,94303,CA,2019-11-26,1981
516,Condo,Sunnyvale,94087,CA,2019-10-02,1987
517,SingleFamily,Compton,90220,CA,2019-12-18,1941
518,SingleFamily,Richvale,95974,CA,2019-11-22,1951
520,SingleFamily,San Jose,95128,CA,2019-12-03,1950
521,SingleFamily,San Francisco,94110,CA,2019-10-17,1908
522,SingleFamily,Los Angeles,90045,CA,2019-08-13,2019
524,SingleFamily,Los Angeles,90059,CA,2019-12-06,1945
525,SingleFamily,San Bruno,94066,CA,2019-10-02,1935
526,SingleFamily,Compton,90222,CA,2019-10-24,1949
527,Condo,San Jose,95148,CA,2019-08-01,1979
529,SingleFamily,Watsonville,95076,CA,2016-11-07,1947
530,MobileManufactured,Half Moon Bay,94019,CA,2019-06-05,1984
531,SingleFamily,Santa Monica,90401,CA,2019-07-13,1986
532,SingleFamily,Compton,90221,CA,2019-07-29,1952
533,SingleFamily,San Francisco,94121,CA,2019-11-13,1927
535,SingleFamily,Los Gatos,95033,CA,2019-11-26,1950
536,Condo,Los Angeles,90057,CA,2019-12-11,1971
537,SingleFamily,San Jose,95120,CA,2019-12-13,1966
538,SingleFamily,Los Angeles,90024,CA,2019-11-26,1930
539,SingleFamily,Menlo Park,94025,CA,2019-10-28,1947
542,SingleFamily,Pacifica,94044,CA,2019-12-06,1954
543,Condo,West Hollywood,90069,CA,2019-02-15,2007
544,Condo,San Francisco,94114,CA,2019-09-04,2013
545,SingleFamily,San Jose,95121,CA,2012-09-11,1984
547,Condo,Los Angeles,90046,CA,2019-08-09,1972
548,SingleFamily,San Bruno,94066,CA,2019-12-05,1956
549,SingleFamily,Brookdale,95007,CA,2019-11-05,1922
550,SingleFamily,Aptos,95003,CA,2019-09-16,1978
551,Condo,Los Angeles,90015,CA,2019-10-31,2005
552,SingleFamily,Santa Cruz,95062,CA,2019-12-16,1923
553,SingleFamily,Los Angeles,90004,CA,2020-01-08,1927
554,SingleFamily,Los Angeles,90027,CA,2019-12-25,1925
555,SingleFamily,San Francisco,94112,CA,2019-11-01,1929
556,SingleFamily,San Martin,95046,CA,2019-11-08,1973
557,Condo,San Francisco,94107,CA,2018-07-26,1984
560,SingleFamily,San Jose,95122,CA,2019-11-07,1961
561,SingleFamily,San Mateo,94403,CA,2019-10-22,1953
563,MobileManufactured,Soquel,95073,CA,2019-12-10,1999
564,SingleFamily,Los Angeles,90065,CA,2019-10-31,1922
565,SingleFamily,San Bruno,94066,CA,2019-09-12,1963
566,SingleFamily,San Francisco,94124,CA,2019-11-05,1950
569,SingleFamily,Los Angeles,90062,CA,2019-10-18,1911
570,SingleFamily,San Francisco,94109,CA,2019-01-15,1981
572,SingleFamily,Los Angeles,90026,CA,2019-09-10,1920
573,Condo,San Jose,95111,CA,2019-11-14,1971
575,SingleFamily,Watsonville,95076,CA,2019-07-24,1980
576,Condo,San Francisco,94107,CA,2019-09-18,2004
577,SingleFamily,San Bruno,94066,CA,2019-11-14,1964
579,SingleFamily,Los Altos,94022,CA,2019-09-26,1973
580,Condo,San Jose,95122,CA,2019-10-01,1985
581,Condo,San Mateo,94404,CA,2019-11-16,1968
582,SingleFamily,Los Angeles,90042,CA,2019-10-25,1923
583,SingleFamily,Los Angeles,90049,CA,2019-01-21,2019
585,SingleFamily,Redwood City,94061,CA,2019-12-13,1952
586,SingleFamily,Culver City,90230,CA,2019-11-11,1953
587,Townhouse,San Jose,95136,CA,2019-10-24,1988
588,SingleFamily,Los Angeles,90016,CA,2019-10-24,1922
590,SingleFamily,San Jose,95127,CA,2019-12-12,1954
