Housing_Id,tax_assesses_value,annual_tax_amount,listed_price,last_sold_price,sold_price
49,775616.0,10112.0,1345000,807853.7111515519,1250000
50,1136552.0,13913.0,1750000,1050000.0,1780000
52,277100.0,3424.0,428800,256000.0,420000
53,828451.0,10714.0,989000,807853.7111515519,965000
54,662686.0,8226.0,1425000,510000.0,1500000
55,282869.0,4181.0,2750500,807853.7111515519,2350000
56,786311.7560919907,9956.843817385054,1649000,807853.7111515519,1490000
57,2499000.0,30136.0,4795000,2450000.0,4550000
58,1220388.0,15523.0,1095000,1150000.0,1175000
59,631680.0,7830.0,2195000,419500.0,1600000
61,786311.7560919907,9956.843817385054,199900,807853.7111515519,160000
63,741778.0,10356.0,675000,665000.0,129000
64,154269.0,1804.0,998000,172000.0,1150000
65,543414.0,6711.0,1550000,370000.0,1364000
66,420536.0,4314.0,929000,807853.7111515519,799500
67,786311.7560919907,9956.843817385054,425000,807853.7111515519,425000
68,866813.0,10813.0,895000,819900.0,170000
69,2177177.0,26367.0,3295000,1165000.0,3200000
70,198530.0,4152.0,974950,807853.7111515519,940000
71,786311.7560919907,9956.843817385054,899000,807853.7111515519,840000
72,165903.0,2122.0,728000,807853.7111515519,690000
73,525000.0,7316.0,525000,240000.0,525000
75,448662.0,6129.0,1167000,313000.0,1050000
76,696597.0,9212.0,888000,580000.0,890000
77,80741.0,38.0,1230800,807853.7111515519,1410000
78,1664640.0,20690.0,2590000,1600000.0,2430000
79,1855808.0,22981.0,1695000,1318000.0,1850000
80,347416.0,4351.0,2100000,807853.7111515519,1775000
81,880935.0,10580.0,1099950,705000.0,1050000
82,838486.0,10234.0,949000,807853.7111515519,927500
83,561815.0,7522.0,598000,540000.0,584000
84,1320566.0,17880.0,1488888,807853.7111515519,1498000
85,498875.0,6861.0,1300000,335000.0,1142000
86,1895557.0,22560.0,4888888,807853.7111515519,3200000
87,97237.0,1444.0,1425000,807853.7111515519,1235000
89,973723.0,12460.0,1799000,749000.0,2100000
90,741460.0,9638.0,699000,685000.0,750000
91,786311.7560919907,9956.843817385054,449000,807853.7111515519,370000
96,899123.0,11126.0,1698900,807853.7111515519,1725000
97,2149140.0,26547.0,1995000,2107000.0,2207000
101,472906.0,5631.0,799000,420000.0,780000
102,273482.0,2990.0,679000,176000.0,625000
103,210920.0,2878.0,200000,201000.0,363000
106,48578.0,783.0,525000,807853.7111515519,500000
107,2080800.0,25098.0,4300000,2000000.0,3500000
108,354960.0,4250.0,348000,348000.0,107500
109,114925.0,2167.0,1185000,807853.7111515519,922500
110,40517.0,648.0,1050000,807853.7111515519,950000
112,233739.0,3078.0,329900,807853.7111515519,345000
113,656561.0,7879.0,999000,586000.0,965000
114,315241.0,4190.0,1625000,807853.7111515519,1500000
115,150916.0,3199.0,749000,807853.7111515519,795000
116,1326510.0,16249.0,1450000,1275000.0,8750000
118,957417.0,11756.0,2477000,850500.0,2175000
119,941292.0,11852.0,1998000,725000.0,1975000
120,231650.0,2738.0,479000,807853.7111515519,316000
121,905000.0,12290.0,1049000,905000.0,1111500
122,1008869.0,12747.0,1195000,840000.0,1300000
123,239711.0,3774.0,899500,807853.7111515519,750000
124,666855.0,8158.0,879000,565500.0,835000
126,950000.0,13901.0,1198000,950000.0,1170000
127,374868.0,6333.0,354900,320000.0,107500
128,626813.0,8252.0,2800000,807853.7111515519,2960000
131,786311.7560919907,9956.843817385054,805000,807853.7111515519,805000
132,135151.0,2797.0,1125000,807853.7111515519,1100000
135,524976.0,7096.0,585000,485000.0,560000
136,1632000.0,20230.0,1650000,807853.7111515519,1736000
137,153254.0,1871.0,1988800,807853.7111515519,2110000
138,1593240.0,19345.0,2279000,1000000.0,2170000
139,1880523.0,22881.0,2850000,1159000.0,2950172
141,339159.0,5579.0,1150000,807853.7111515519,1175000
142,153420.0,2226.0,889000,807853.7111515519,800000
145,1143344.0,15580.0,1500000,915000.0,1440000
146,167153.0,1795.0,310000,807853.7111515519,308000
147,1074617.0,13275.0,1275000,860000.0,1520000
148,118000.0,1642.0,384000,807853.7111515519,360000
149,6422389.0,77710.0,6595000,6173000.0,6595000
150,1232160.0,15120.0,1979000,807853.7111515519,1611000
153,851251.0,11695.0,13850000,807853.7111515519,13000000
154,1289000.0,15766.0,1200000,1250000.0,8750000
155,1189036.0,14870.0,2399500,1015000.0,2094000
156,1725658.0,21303.0,1369800,1605000.0,263000
157,160389.0,2025.0,1150000,807853.7111515519,982000
158,1042455.0,13129.0,3495000,807853.7111515519,3055000
164,48805.0,1185.0,579888,423000.0,600000
165,786311.7560919907,9956.843817385054,279900,807853.7111515519,265000
166,783819.0,9550.0,899000,807853.7111515519,986000
167,786311.7560919907,9956.843817385054,215000,159000.0,212000
168,637500.0,7460.0,599000,625000.0,764000
169,157316.0,2114.0,1858900,807853.7111515519,2594500
170,176468.0,2250.0,699000,807853.7111515519,741000
171,420240.0,7617.0,499000,325000.0,500000
172,72828.0,1017.0,799000,807853.7111515519,792000
173,1362923.0,16549.0,1545000,807853.7111515519,1364000
174,720000.0,9036.0,899000,720000.0,1062000
175,851412.0,10954.0,950000,695000.0,910000
176,326528.0,4116.0,599999,290000.0,605000
177,790704.0,11471.0,728888,760000.0,200500
178,1350000.0,16274.0,2298000,1350000.0,2205000
179,532980.0,8562.0,768900,485000.0,721500
181,1020082.0,10913.0,2395000,240000.0,2395000
182,1290000.0,15783.0,1100000,1250000.0,8750000
183,412098.0,4991.0,580000,807853.7111515519,550000
184,110208.0,1424.0,375000,80000.0,377000
185,477000.0,5401.0,890000,807853.7111515519,750000
186,120731.0,1448.0,419900,807853.7111515519,390000
187,352000.0,4473.0,425000,385000.0,410000
188,184146.0,9956.843817385054,279000,807853.7111515519,258500
189,821916.0,11176.0,1165000,790000.0,1175000
190,566288.0,5932.0,899900,476000.0,800000
191,581754.0,7743.0,525000,527000.0,690000
192,726501.0,8115.0,1195000,807853.7111515519,1115500
193,1124314.0,13967.0,999950,960000.0,2100000
194,1341708.0,16578.0,1249900,425000.0,1120000
195,786311.7560919907,9956.843817385054,1095000,807853.7111515519,1040000
196,328515.0,4283.0,291000,303500.0,430000
197,14711.0,159.0,60000,807853.7111515519,212000
198,760000.0,9898.0,1398000,760000.0,1640000
200,520300.0,6528.0,375000,807853.7111515519,365000
201,660257.0,8653.0,1299000,807853.7111515519,1460000
202,1542592.0,19144.0,2495000,1370000.0,2225000
203,122565.0,2625.0,1998000,807853.7111515519,2150000
205,786311.7560919907,9956.843817385054,849000,807853.7111515519,855000
206,425000.0,5403.0,699000,425000.0,699000
207,140786.0,2343.0,1599000,807853.7111515519,1500000
208,403000.0,5115.0,580000,403000.0,575000
209,786311.7560919907,7132.0,1100000,807853.7111515519,790000
211,768090.0,9953.0,1295000,580000.0,1350000
212,1002618.0,12806.0,988000,360000.0,1002616
213,967064.0,12397.0,899000,880000.0,903000
215,81145.0,1990.0,975000,807853.7111515519,975000
216,896167.0,11119.0,1250000,807853.7111515519,1185000
217,403607.0,5840.0,1275000,74000.0,1170000
218,858840.0,10544.0,2395000,842000.0,2195000
219,83479.0,2286.0,799999,807853.7111515519,780000
220,450560.0,6820.0,385888,410000.0,583000
222,341866.0,4182.0,329900,305000.0,450000
224,125795.0,1395.0,190000,95000.0,142500
225,358938.0,4801.0,550000,807853.7111515519,500000
227,742845.0,9964.0,799000,700000.0,910000
228,425486.0,5217.0,675000,315000.0,660000
229,205000.0,2560.0,528000,175000.0,516000
232,280000.0,3525.0,308000,280000.0,419900
233,768568.0,9677.0,1365888,625000.0,1300000
234,281025.0,3141.0,339000,60000.0,262000
235,836199.0,10678.0,125000,807853.7111515519,1250000
237,223435.0,2307.0,299900,159000.0,300000
238,2700665.0,41343.0,2500000,2495000.0,2279000
240,96699.0,1204.0,1500000,807853.7111515519,1700000
241,295112.0,3836.0,665000,20000.0,570000
242,590105.0,8304.0,850000,463000.0,825000
243,633764.0,7602.0,1575000,807853.7111515519,1294000
244,1071890.0,13611.0,1595000,915000.0,1650000
245,843912.0,9706.0,1399000,650000.0,1252000
247,728280.0,7846.0,869999,700000.0,860000
249,807136.0,10413.0,1525000,689000.0,1525640
251,406541.0,5193.0,995000,807853.7111515519,1050000
252,269586.0,3377.0,525000,807853.7111515519,520000
253,2262896.0,27236.0,4198000,1519500.0,3665000
254,104227.0,1191.0,199000,70000.0,190000
255,507800.0,6073.0,1245000,807853.7111515519,1105000
257,963575.0,11045.0,1095000,908000.0,1280000
258,688424.0,8185.0,888000,636000.0,871000
259,3056421.0,37286.0,10250000,10250000.0,8300000
260,1018523.0,13561.0,1899950,865000.0,1900000
261,1036188.0,13208.0,1495000,807853.7111515519,1655000
262,304348.0,3477.0,815000,807853.7111515519,935000
263,844509.0,10362.0,1595000,721000.0,1435000
264,1180500.0,14130.0,1468000,1025000.0,1435000
266,1443300.0,18038.0,998000,1415000.0,1550000
267,4145993.0,86153.0,2300000,3985000.0,3990000
268,2351557.0,28923.0,2295000,2050000.0,3400000
269,957950.0,12221.0,975000,885000.0,860000
270,4794000.0,56539.0,4695000,4700000.0,4665000
271,606160.0,7545.0,599000,560000.0,580000
272,183881.0,2391.0,699000,44500.0,675000
273,1311442.0,17147.0,1875000,927000.0,1775000
276,1476310.0,17979.0,1919000,807853.7111515519,1795000
277,715274.0,9730.0,736000,687500.0,725000
278,1791934.0,22172.0,4750000,807853.7111515519,4200000
279,406604.0,6502.0,530000,370000.0,525000
281,63104.0,1006.0,1100000,807853.7111515519,1100000
283,1419840.0,17074.0,1450000,1392000.0,1350000
286,856800.0,10586.0,1395000,840000.0,1395000
288,864745.0,11123.0,1025000,720000.0,1009000
289,608500.0,8033.0,1498000,807853.7111515519,1460000
291,1455518.0,18036.0,1594500,1399000.0,1575000
292,581400.0,6775.0,799000,515000.0,770000
293,272993.0,3583.0,415000,210000.0,405000
294,4393282.0,49429.0,8900000,2950000.0,5600000
295,591988.0,7517.0,650000,569000.0,660000
297,339660.0,4228.0,399900,333000.0,405000
299,786311.7560919907,9956.843817385054,1198000,807853.7111515519,1174000
300,343396.0,5611.0,299800,299000.0,162500
302,673865.0,8296.0,899000,635000.0,985000
303,659387.0,8165.0,999000,807853.7111515519,1020000
305,1094600.0,14291.0,1199000,705000.0,1330000
306,316000.0,4417.0,384900,316000.0,386000
307,748680.0,9468.0,1288800,1830000.0,1580000
309,1407600.0,16799.0,2275000,807853.7111515519,2185000
310,736284.0,8885.0,799000,670000.0,811000
311,405902.0,5809.0,6500000,807853.7111515519,5650000
314,438471.0,5482.0,550000,399000.0,510000
315,714000.0,8293.0,948000,700000.0,850000
316,353705.0,5753.0,2288000,807853.7111515519,1725000
318,519325.0,6784.0,799000,400000.0,815000
319,652704.0,7927.0,549000,603000.0,650000
320,1157700.0,14157.0,1750000,1090000.0,1850000
323,697170.0,10122.0,935000,547000.0,900000
324,212309.0,2814.0,499000,127000.0,485000
326,402900.0,5368.0,420000,215000.0,368000
327,1879180.0,23320.0,2150000,1710000.0,2070000
328,504072.0,6149.0,529000,807853.7111515519,505000
329,1178900.0,14793.0,1350000,807853.7111515519,1250000
331,786311.7560919907,9956.843817385054,9495000,807853.7111515519,18000000
333,786311.7560919907,9956.843817385054,1300000,807853.7111515519,1125000
334,166984.0,2322.0,1549000,807853.7111515519,1400000
335,1243907.0,15116.0,2199000,1110000.0,2150000
336,339181.0,4395.0,796000,185000.0,790000
337,786311.7560919907,9956.843817385054,695000,807853.7111515519,716000
339,540446.0,6274.0,595000,807853.7111515519,556000
340,1072684.0,13526.0,1895000,810000.0,1875000
342,621537.0,9158.0,859000,552000.0,865000
343,1161107.0,14333.0,3793000,810000.0,4500000
344,675418.0,8770.0,1649000,475000.0,1700000
345,492417.0,6086.0,789000,410000.0,930000
347,944227.0,11972.0,1198000,800000.0,1465000
348,483810.0,6043.0,799000,413000.0,755000
349,344890.0,6250.0,429000,325000.0,455000
350,217027.0,4292.0,1099000,807853.7111515519,925000
351,364285.0,4473.0,475000,325000.0,480000
352,1240826.0,15527.0,1675000,807853.7111515519,1775000
353,323373.0,4165.0,515000,288500.0,525000
354,139359.0,2532.0,995000,807853.7111515519,815000
356,2637298.0,32382.0,3925000,807853.7111515519,3499000
357,42236.0,451.0,183500,807853.7111515519,165000
358,148642.0,2751.0,1599000,807853.7111515519,1700000
359,458116.0,6559.0,1725000,807853.7111515519,1750000
360,196378.0,3947.0,679000,807853.7111515519,715000
362,1401116.0,17692.0,1549000,1250000.0,1500000
363,745130.0,10983.0,1150000,807853.7111515519,993000
364,780018.0,11501.0,949888,600000.0,985000
365,635538.0,9959.0,999999,471000.0,1013000
366,3209305.0,39119.0,4195000,2515000.0,4195000
368,486218.0,6924.0,1349000,326500.0,1750000
369,98523.0,1265.0,280000,807853.7111515519,269000
370,1813041.0,22328.0,2888000,807853.7111515519,2050000
371,432265.0,6312.0,1094900,675000.0,1045000
372,1242249.0,15120.0,1699000,1055000.0,1670000
373,509845.0,6136.0,799000,385000.0,779000
374,3474771.0,42403.0,8950000,807853.7111515519,4000000
377,632410.0,9547.0,749900,550000.0,800000
378,103706.0,1892.0,1198000,950000.0,1200000
379,544702.0,6849.0,875000,350000.0,875000
380,968406.0,12588.0,1199000,775000.0,1050000
381,786311.7560919907,9956.843817385054,199000,807853.7111515519,140000
382,816000.0,10570.0,829000,807853.7111515519,1027000
383,363445.0,5198.0,799000,807853.7111515519,770000
384,478583.0,5919.0,599000,460000.0,587500
385,530000.0,6718.0,500000,432600.0,443000
386,95864.0,1805.0,1495000,807853.7111515519,1550000
387,1891690.0,23327.0,3295000,1625000.0,2925000
388,207048.0,3526.0,485000,807853.7111515519,450000
390,48215.0,1076.0,840000,807853.7111515519,840000
391,391466.0,5348.0,1290000,807853.7111515519,1310000
392,624852.0,8285.0,998000,540000.0,1090000
393,464268.0,6677.0,1598000,318000.0,1555000
394,209792.0,2419.0,199900,807853.7111515519,198000
395,400369.0,5141.0,829000,807853.7111515519,781000
396,210328.0,9956.843817385054,365000,275000.0,355000
397,245700.0,4451.0,698000,165000.0,705000
399,337000.0,3467.0,350000,337000.0,340000
401,1054321.0,12750.0,1350000,900000.0,1300000
405,166158.0,2202.0,549000,807853.7111515519,540000
406,744600.0,9165.0,1199000,730000.0,1125000
407,223364.0,3425.0,819000,150000.0,960000
409,302000.0,4044.0,410000,302000.0,410000
410,2814321.0,34519.0,2895000,2600000.0,3000000
411,331500.0,4479.0,445000,325000.0,445000
413,681880.0,7633.0,998000,535000.0,1280000
414,228000.0,3943.0,245000,282500.0,245000
415,183519.0,2739.0,399900,807853.7111515519,395000
417,60569.0,2088.0,799000,807853.7111515519,434000
418,174522.0,2380.0,494900,155000.0,502000
419,88422.0,1300.0,450000,807853.7111515519,425000
421,956072.0,11695.0,1395000,870000.0,1230000
422,613836.0,6745.0,599999,590000.0,610000
423,928036.0,13117.0,889000,807853.7111515519,885000
425,950000.0,12592.0,950888,807853.7111515519,967888
426,205103.0,3164.0,399000,807853.7111515519,440000
428,1142400.0,14092.0,1249950,1120000.0,1140000
429,464806.0,6241.0,568888,438000.0,569000
430,2399228.0,29199.0,4088000,807853.7111515519,3750000
431,700880.0,8817.0,289900,320000.0,890000
432,317819.0,3917.0,629000,807853.7111515519,650000
435,2449185.0,29942.0,828888,819000.0,811000
436,307774.0,4345.0,1500000,807853.7111515519,1625000
438,187036.0,2240.0,315000,807853.7111515519,300000
439,2828118.0,33935.0,2895000,2665000.0,2895000
442,973970.0,12463.0,1495000,865000.0,1650000
443,258735.0,3893.0,307400,230834.0,307400
444,71902.0,1165.0,899999,807853.7111515519,799999
445,786311.7560919907,9956.843817385054,1200000,807853.7111515519,1205000
446,786311.7560919907,9956.843817385054,2195000,807853.7111515519,2000000
447,786311.7560919907,9956.843817385054,615000,807853.7111515519,715000
449,1021295.0,13082.0,988000,750000.0,1100000
450,137883.0,2121.0,199500,807853.7111515519,204000
452,290504.0,4145.0,799000,807853.7111515519,775000
453,14238.0,9956.843817385054,169000,500000.0,169000
454,606026.0,8010.0,840000,807853.7111515519,760000
455,168074.0,2227.0,1468000,807853.7111515519,1490000
456,283260.0,3604.0,214750,240000.0,715000
457,856800.0,10510.0,1479888,840000.0,1328000
458,614162.0,9494.0,1750000,420000.0,1450000
459,743257.0,9259.0,709000,535000.0,700000
460,679380.0,8438.0,950000,807853.7111515519,899888
461,80634.0,1623.0,1295000,807853.7111515519,1440000
462,4094094.0,49691.0,4199900,807853.7111515519,4225000
463,155976.0,2659.0,599000,807853.7111515519,700000
464,80113.0,1802.0,890000,807853.7111515519,1000000
465,353736.0,4678.0,365000,124000.0,343300
466,316289.0,3979.0,305000,270000.0,300000
470,1071460.0,13179.0,1479000,807853.7111515519,1670000
471,114953.0,1366.0,1200000,807853.7111515519,1100000
474,16126199.0,195115.0,15000000,807853.7111515519,15050000
475,1592580.0,19743.0,1395000,1300000.0,1900000
476,279495.0,5194.0,490000,215000.0,490000
477,397056.0,5112.0,875000,277000.0,979000
478,11639621.0,141087.0,46750000,807853.7111515519,37000000
479,243254.0,4376.0,849900,807853.7111515519,876000
480,786311.7560919907,9956.843817385054,1950000,807853.7111515519,1465000
481,222571.0,4091.0,409999,190000.0,430000
482,585179.0,7193.0,799000,532500.0,840000
485,897099.0,10995.0,1990000,622000.0,1975000
486,680848.0,9262.0,629000,629000.0,809000
488,786311.7560919907,9956.843817385054,306800,807853.7111515519,295000
489,27962.0,1224.0,379900,807853.7111515519,400000
490,983074.0,13271.0,1778888,807853.7111515519,1600000
491,410000.0,5170.0,374950,352960.0,374950
492,369000.0,4662.0,1275000,512000.0,1420000
493,780300.0,9583.0,699000,750000.0,615000
494,440901.0,5397.0,1149000,315000.0,1425000
497,193252.0,2972.0,2850000,807853.7111515519,2850000
498,101345.0,1014.0,289500,807853.7111515519,200000
499,274729.0,4836.0,358888,250000.0,345888
500,70767.0,907.0,865000,807853.7111515519,800000
501,750000.0,11037.0,710000,300000.0,750000
502,647337.0,7670.0,789000,610000.0,789000
504,869142.0,10559.0,919000,807853.7111515519,880000
506,576000.0,7431.0,0,807853.7111515519,405000
510,140716.0,1485.0,185000,140000.0,177000
511,139264.0,2519.0,350000,118000.0,375000
512,372762.0,4304.0,665000,807853.7111515519,655000
513,788325.0,10104.0,1300000,669500.0,1010000
514,443522.0,6602.0,519000,410000.0,530000
515,127427.0,2194.0,399000,807853.7111515519,510000
516,571650.0,7134.0,880950,510000.0,840000
517,54973.0,1620.0,312000,807853.7111515519,299250
518,64398.0,905.0,329500,807853.7111515519,315000
520,892335.0,11686.0,1150000,812000.0,1230000
521,786311.7560919907,9956.843817385054,1199000,925000.0,1275000
522,2000000.0,24431.0,2299900,1090000.0,2150000
524,376000.0,6820.0,400000,807853.7111515519,410000
525,137078.0,1534.0,1175000,807853.7111515519,1175000
526,176612.0,2707.0,350000,807853.7111515519,342000
527,100714.0,2615.0,558000,153000.0,540000
529,541008.0,6422.0,524950,520000.0,585000
530,786311.7560919907,9956.843817385054,349000,807853.7111515519,285000
531,786311.7560919907,9956.843817385054,10995000,807853.7111515519,8549000
532,278561.0,4960.0,400000,807853.7111515519,400000
533,213180.0,3345.0,1398000,807853.7111515519,1325000
535,80631.0,1667.0,1780000,807853.7111515519,1730000
536,49615.0,588.0,379000,32000.0,411000
537,1152600.0,14732.0,1500000,1130000.0,1570000
538,2339642.0,28503.0,3995000,807853.7111515519,4068000
539,1674872.0,19822.0,1898000,1550000.0,1800000
542,998784.0,12655.0,999000,960000.0,1200000
543,758262.0,9226.0,949000,807853.7111515519,875000
544,1130184.0,14349.0,1099000,1065000.0,1150000
545,421954.0,6735.0,296900,375000.0,290000
547,343419.0,4447.0,549900,305000.0,480000
548,109634.0,1228.0,1475000,1000000.0,1610000
549,75707.0,313.0,649900,807853.7111515519,600000
550,1090060.0,12884.0,1249000,807853.7111515519,1185000
551,1095638.0,13836.0,1100000,997000.0,1024000
552,531339.0,6278.0,1075000,300000.0,1050000
553,2295907.0,28190.0,6950000,1390000.0,6950000
554,1872719.0,22679.0,2279000,807853.7111515519,2140000
555,52763.0,1289.0,998000,807853.7111515519,1210000
556,1123632.0,13433.0,1299000,807853.7111515519,1250000
557,1203600.0,15165.0,1199000,1180000.0,1375000
560,741000.0,10833.0,799900,500000.0,790000
561,118013.0,2545.0,1899000,1340000.0,1700000
563,786311.7560919907,9956.843817385054,257000,807853.7111515519,240000
564,474298.0,5873.0,839000,432000.0,845000
565,122243.0,1311.0,1388000,807853.7111515519,1288000
566,687251.0,8893.0,1059000,807853.7111515519,1250000
569,354680.0,4594.0,695000,315000.0,650000
570,6858522.0,83039.0,14400000,5350000.0,9950000
572,73878.0,1080.0,925000,807853.7111515519,900000
573,483786.0,7597.0,509000,465000.0,515000
575,910723.0,15720.0,1360000,807853.7111515519,1220000
576,1312784.0,16584.0,1850000,1030000.0,1800000
577,989040.0,11032.0,1438755,918000.0,1455000
579,336265.0,5043.0,4500000,807853.7111515519,4007000
580,162439.0,2634.0,519000,105000.0,499000
581,305880.0,4778.0,499000,10909.0,499000
582,864882.0,10466.0,899000,815000.0,899000
583,15404643.0,185709.0,27000000,9775000.0,20833500
585,543802.0,6111.0,1598000,340000.0,1637000
586,1173000.0,14399.0,1999999,1150000.0,2000000
587,489600.0,6302.0,509900,426000.0,495000
588,305496.0,3851.0,599000,235000.0,572000
590,54445.0,1931.0,725000,18500.0,775000
591,513513.0,6551.0,649999,370000.0,650000
592,923100.0,11602.0,1198900,905000.0,1300000
594,2296412.0,26461.0,1999950,1075000.0,2150000
595,1893195.0,22469.0,1729000,1700000.0,2554000
596,188033.0,2657.0,409000,167000.0,393000
598,1185262.0,14352.0,1195000,1095000.0,1185000
600,786311.7560919907,9956.843817385054,1099000,807853.7111515519,1052000
601,442166.0,5589.0,749000,385000.0,690000
602,306586.0,3831.0,825000,807853.7111515519,820000
604,568388.0,7218.0,975000,495000.0,950000
605,445000.0,4737.0,450000,400000.0,445000
606,76008.0,821.0,349000,359000.0,421000
607,293000.0,5428.0,415000,293000.0,429900
608,149638.0,1457.0,330000,807853.7111515519,295000
609,786311.7560919907,9956.843817385054,1425000,807853.7111515519,1388000
610,161947.0,2038.0,2300888,807853.7111515519,2428000
611,797270.0,9861.0,1060000,740000.0,1065000
612,2132820.0,26339.0,1995000,2050000.0,2280000
613,426360.0,5368.0,788000,418000.0,758000
616,191131.0,3139.0,2450000,2200000.0,2072500
617,775000.0,9572.0,899000,807853.7111515519,775000
618,94352.0,1977.0,417000,807853.7111515519,425000
619,1969477.0,23938.0,1788000,807853.7111515519,1740000
620,34792.0,2364.0,749888,807853.7111515519,920000
621,62312.0,9956.843817385054,135000,807853.7111515519,125500
622,2300168.0,28304.0,3000000,807853.7111515519,2900000
623,1050000.0,12925.0,999000,553750.0,955000
624,750000.0,9516.0,1175000,750000.0,1190000
626,1531025.0,18700.0,2125000,1387000.0,1999000
628,337247.0,3831.0,548000,104000.0,548000
629,786311.7560919907,9956.843817385054,925000,807853.7111515519,900000
630,818456.0,10480.0,995000,655000.0,1020000
632,381099.0,6574.0,499000,807853.7111515519,499000
633,924667.0,12556.0,1550000,740000.0,1450000
634,382259.0,4235.0,625000,283000.0,688889
635,212622.0,4075.0,918000,807853.7111515519,910000
636,786311.7560919907,9956.843817385054,1999000,807853.7111515519,1999000
638,893004.0,10870.0,1095000,825000.0,1075000
639,1363864.0,17256.0,1695000,1260000.0,1649000
641,759900.0,9309.0,749000,745000.0,735000
642,786311.7560919907,9956.843817385054,1400000,1005000.0,1410000
643,1937552.0,25471.0,2000000,807853.7111515519,2000000
646,795600.0,9956.843817385054,949000,807853.7111515519,930000
648,786311.7560919907,9956.843817385054,12100000,807853.7111515519,9400000
651,305272.0,4783.0,879000,205000.0,835000
653,259994.0,3449.0,575000,200000.0,550000
654,419082.0,5289.0,364900,365000.0,850000
655,14394557.0,171773.0,16995000,807853.7111515519,15500000
657,292861.0,4357.0,595000,250000.0,670000
658,1312768.0,16555.0,1975000,1030000.0,1980000
659,1417545.0,16565.0,1649000,1362500.0,1532000
660,509846.0,6767.0,949000,385000.0,874000
662,1107387.0,14764.0,1425000,595000.0,1400000
663,478535.0,6807.0,898000,425000.0,990000
664,858330.0,10398.0,990000,825000.0,880000
665,623438.0,7688.0,869900,807853.7111515519,859900
666,840929.0,10090.0,1588888,1500000.0,1660000
667,1512221.0,18482.0,2295000,1425000.0,2255000
668,871576.0,11186.0,1699000,1260000.0,1915000
669,203926.0,4160.0,399900,807853.7111515519,377800
670,1322032.0,16500.0,1395000,1058000.0,1640000
672,786311.7560919907,9956.843817385054,450000,807853.7111515519,429000
673,786311.7560919907,9956.843817385054,2495000,2050000.0,2280000
674,174420.0,1837.0,220000,171000.0,212000
676,1517378.0,18936.0,3300000,807853.7111515519,3075000
678,47052.0,2056.0,588000,807853.7111515519,621000
679,962280.0,12516.0,999999,630000.0,1050000
684,400554.0,4646.0,549000,807853.7111515519,492000
685,98923.0,1153.0,189000,807853.7111515519,189000
686,1050000.0,13650.0,1398000,1050000.0,1350000
687,146375.0,1537.0,199900,130000.0,200000
688,259654.0,3649.0,489900,220000.0,505000
689,466736.0,6260.0,719000,807853.7111515519,710000
690,555958.0,6690.0,719000,807853.7111515519,642000
691,1485690.0,18141.0,1995000,1400000.0,1690000
694,94163.0,1576.0,1995000,807853.7111515519,1995000
695,258858.0,3872.0,459000,230000.0,450000
696,840000.0,10202.0,875000,840000.0,840000
698,49960.0,455.0,179000,807853.7111515519,159000
699,373437.0,5055.0,464900,345000.0,495000
700,455695.0,6138.0,542000,438000.0,537000
701,131504.0,1866.0,899950,807853.7111515519,860000
