Housing_Id,parking,bedrooms,bathrooms,full_bathrooms,total_interior_livable_area
57,Garage - Attached,5,6,6,4700.0
58,Garage - Detached,1,2,2,1000.0
59,"Driveway, Gated, Direct Access, Garage Faces Front, Garage Faces Rear, Garage Faces Side, Garage - Two Door, Garage Door Opener",3,2,2,1927.0
61,0 spaces,2,2,2,1440.0
63,"Garage, Garage - Attached, Covered",3,2,2,1475.0
64,"Underground/Basement, Garage - Attached, Covered",4,3,3,1475.0
65,Driveway,2,2,1,1525.0
66,"Work/Shop Area, Auto Opener",3,3,2,3593.0
67,None,0,1,1,307.0
68,"Garage, Covered",2,1,1,1021.0
69,"Garage - Two Door, Valet",4,4,2,3230.0
70,"Garage, Garage - Attached, Covered",4,3,2,1853.0
71,"Enclosed, Side By Side, Valet, Side by Side, On Site",1,1,1,5774.587090597377
72,"Carport, Covered",2,1,1,900.0
73,Garage,3,2,2,1176.0
75,Garage - Two Door,3,1,1,1077.0
76,"Garage, Garage - Attached, Covered",3,2,2,1271.0
77,"Garage, On-street, Covered",2,1,2,710.0
78,"Garage, Auto Door, Deck",5,5,2,2583.0
79,"Garage Door Opener, Attached",4,3,2,2084.0
80,Driveway,2,1,1,805.0
81,"Garage, Garage - Attached, Covered",6,2,2,1605.0
82,Garage - Two Door,2,3,2,1520.0
83,"Garage, Carport, Off-street, Covered",1,1,1,776.0
84,"Garage, Garage - Attached, Covered",4,2,2,1440.0
85,"Attached, Garage Door Opener, Side By Side, Side by Side, On Site - Lease Available (Condo Only)",2,2,2,1387.0
86,Attached,5,4,2,4954.0
87,"Driveway, Garage, Concrete, Garage - Single Door",3,3,2,1820.0
89,"Attached, Garage Door Opener, Interior Access, On Site (Single Family Only)",4,3,3,2429.0
90,"Attached, Garage Door Opener, Independent, On Site",1,1,1,537.0
91,0 spaces,3,2,2,1324.0
96,Garage,3,2,2,1552.0
97,"Independent, On Site (Single Family Only)",5,3,3,2962.0
101,Garage,2,1,1,865.0
102,Garage - Attached,3,2,2,1800.0
103,Missing,2,2,2,622.0
106,Garage,2,2,2,1172.0
107,Garage - Attached,5,6,5,7600.0
108,"Garage, Garage - Attached",3,2,2,912.0
109,None,1,1,1,1290.0
110,"Garage, Covered",3,1,1,1248.0
112,Garage - Attached,3,2,1,910.0
113,"Garage, Garage - Attached, Covered",2,2,2,1028.0
114,"Garage, Garage - Attached, Covered",3,2,2,1435.0
115,"Garage, Garage - Attached",3,2,2,1927.0
116,"Carport, Garage - Detached, Covered",2,2,2,1650.0
118,"Assigned, Controlled Entrance, Direct Access, Garage - Two Door, Guest, Private, Side By Side, Valet",2,2,2,1607.0
119,"Garage, Garage - Attached",3,2,2,2100.0
120,0 spaces,3,1,2,1144.0
121,"Garage, Garage - Attached, Covered",3,2,2,1066.0
122,"Independent, On Site (Single Family Only)",3,2,2,1650.0
123,Garage - Attached,4,2,2,1906.0
124,0 spaces,2,3,2,1535.0
126,"Garage, Garage - Detached, Off-street, Covered",5,3,2,2563.0
127,"Garage, Garage - Attached, Covered",2,2,2,1104.0
128,"Garage, Garage - Attached, Covered",4,3,2,2494.0
131,Covered,3,3,3,1310.0
132,"Garage, Garage - Attached",3,2,2,1800.0
135,None,0,1,1,5774.587090597377
136,"Garage Door Opener, Attached",4,3,2,2585.0
137,"Garage, Garage - Attached, Covered",3,2,2,1313.0
138,"Garage, Other",4,5,4,2542.0
139,"Detached Carport, Garage",4,4,4,2889.0
141,"Garage, Garage - Attached, Covered",4,3,2,2079.0
142,Garage - Attached,3,2,1,1666.0
145,"Garage, Garage - Attached, Covered",5,3,2,2479.0
146,Carport,2,2,1,1450.0
147,"Covered, Direct Access, Garage Door Opener, Garage - Two Door",2,2,2,1486.0
148,0 spaces,0,1,1,460.0
149,"Direct Access, Driveway, Garage - Two Door",5,8,3,5697.0
150,Driveway,3,3,3,1927.0
153,"Garage, Garage - Attached",4,5,4,3870.0
154,"Garage, Carport, Garage - Detached, Covered",3,3,3,1698.0
155,"Garage, Garage - Attached, Covered",3,3,3,2792.0
156,"Garage, Garage - Attached, Covered",3,2,2,1610.0
157,Carport,2,2,1,1376.0
158,"Detached Carport, Garage",3,3,3,2612.0
164,"Garage, Garage Faces Rear",3,1,1,1069.0
165,Carport,3,2,2,1334.0
166,"Garage, Garage - Two Door",2,2,2,1547.0
167,Carport,1,1,2,500.0
168,"Carport, On-street",3,1,1,1008.0
169,"Driveway, Garage",4,3,3,2329.0
170,"Direct Access, Garage Door Opener, Garage - Two Door, Private",2,2,2,1059.0
171,"Garage, Garage Faces Front",4,2,2,1592.0
172,"Garage - Single Door, Garage Door Opener",3,2,2,1250.0
173,Garage - Two Door,3,2,1,5774.587090597377
174,"Driveway, Garage",4,2,2,2182.0
175,None,1,1,1,806.0
176,Missing,3,2,2,1170.0
177,"Garage, Garage - Attached, Covered",3,2,2,1120.0
178,"Garage, Garage - Attached",4,3,3,2280.0
179,"Garage, Garage - Attached, Covered",3,1,2,1232.0
181,0 spaces,3,4,3,3683.0
182,"Garage, Carport, Garage - Detached, Covered",3,1,1,1342.0
183,Garage,2,2,2,1204.0
184,"Community Structure, Controlled Entrance",1,1,1,578.0
185,"Garage - Attached, Garage - Detached, Mixed, Covered",3,3,3,3672.0
186,"Garage, Garage - Attached",2,1,1,836.0
187,Direct Access,4,2,2,1550.0
188,"No Garage, Gravel",4,3,3,1525.0
189,"Garage, Garage - Detached, Covered",1,1,2,1500.0
190,"Garage - Attached, Garage - Detached",3,3,2,2489.0
191,"Carport, Garage - Attached",2,1,2,830.0
192,"Garage, Off-street",2,1,2,675.0
193,"Garage, On-street",3,2,2,1555.0
194,"Covered, Garage",6,3,3,4366.0
195,None,3,1,1,5774.587090597377
196,Garage,1,1,1,764.0
197,Carport,1,1,2,500.0
198,"Attached, Garage Door Opener, Interior Access, Independent, On Site (Single Family Only)",3,2,2,1410.0
200,"Driveway, Garage - Two Door",3,2,2,1671.0
201,"Garage Door Opener, On Site (Single Family Only)",3,2,2,1362.0
202,"Attached, Enclosed, Garage Door Opener, Side By Side, Side by Side, On Site, Driveway",3,3,3,1894.0
203,"Garage, Garage - Attached, Covered",4,2,2,1972.0
205,Covered,3,3,3,1955.0
206,"Assigned, Garage, Guest, Valet",1,1,1,798.0
207,"Interior Access, Independent, On Site (Single Family Only), Driveway",2,1,1,5774.587090597377
208,Missing,3,2,2,1301.0
209,"Additional Garage, Attached, Parking Pad",5,7,5,5588.0
211,"Attached, Enclosed, Garage Door Opener, Interior Access, Side By Side, Side by Side, On Site, Driveway",2,2,2,1042.0
212,Garage - Attached,2,1,1,1040.0
213,"Garage Door Opener, Interior Access, Independent, On Site",2,2,2,936.0
215,Attached,3,2,2,1260.0
216,Garage - Two Door,2,3,2,1902.0
217,"Garage Door Opener, Attached, Guest",2,2,2,1550.0
218,"Auto Driveway Gate, Carport, Detached Carport, Driveway, Driveway - Combination, Paved",4,4,4,5774.587090597377
219,"Garage, Garage - Attached, Covered",4,1,1,1260.0
220,"Garage, Garage - Attached, Covered",2,2,2,875.0
222,0 spaces,1,1,1,600.0
224,Missing,1,1,1,1000.0
225,Garage - Two Door,3,2,2,1116.0
227,"Garage, Garage - Detached, On-street, Covered",2,1,1,1398.0
228,"Attached, Enclosed, Interior Access, Side By Side, Side by Side, On Site - Lease Available (Condo Only)",1,1,1,749.0
229,"Independent, On Site",2,1,1,863.0
232,"Driveway, Open",2,2,2,708.0
233,"Garage, Garage - Attached",2,1,1,1030.0
234,"Garage, Carport, Off-street, Covered",2,2,2,1247.0
235,"Attached, Tandem, On Site (Single Family Only)",4,2,2,2106.0
237,"Detached Carport, Direct Access, Driveway, Gravel, Driveway Level, Garage, Garage Faces Front, Garage - Two Door, Garage Door Opener, RV Access/Parking",4,2,2,2008.0
238,Garage - Three Door,4,5,4,3178.0
240,"Garage, Garage - Attached, Covered",4,3,2,1800.0
241,"Driveway, RV Access/Parking",5,3,3,2205.0
242,"Garage, Garage - Attached, Covered",2,2,1,1132.0
243,Off-street,3,2,2,1870.0
244,"Garage Door Opener, Tandem, On Site - Mapped (Condo Only)",2,2,2,1530.0
245,"Garage, Garage - Attached",4,2,2,1720.0
247,"Assigned, Carport, On Street, Open",3,2,2,1300.0
249,"Side By Side, Side by Side",3,1,1,1750.0
251,"Detached Carport, Driveway, Garage - Two Door",4,2,1,1984.0
252,Garage - Single Door,2,2,2,747.0
253,"Garage, Garage - Attached, Covered",5,3,3,3700.0
254,"Garage - Attached, Covered",2,1,2,1013.0
255,"Community Structure, Controlled Entrance, Garage Door Opener, Garage, Gated, Private, Side By Side",2,2,2,1641.0
257,"Attached, Garage Door Opener, Guest, Interior Access, On Site (Single Family Only), Driveway",3,2,2,1310.0
258,"Garage, Garage - Detached, Covered",2,2,2,1280.0
259,"Attached, Garage Door Opener, Interior Access, On Site (Single Family Only)",5,4,4,6245.0
260,Detached,6,3,2,3929.0
261,"Side By Side, Side by Side",4,3,3,2367.0
262,"Underground/Basement, Garage - Attached",3,2,2,1310.0
263,"Detached Carport, Concrete, Garage, Garage - Two Door, On Street, Private",3,2,2,1398.0
264,"Garage, Garage - Attached, Covered",3,2,2,1332.0
266,"Attached, Independent, On Site (Single Family Only)",3,1,1,1270.0
267,"Garage, Garage - Attached, Covered",4,6,5,5300.0
268,"Covered, Carport",3,2,2,2066.0
269,"Attached, Enclosed, Garage Door Opener, Interior Access, Independent, On Site - Mapped (Condo Only)",1,1,1,5774.587090597377
270,"Carport, Garage - Attached",6,0,2,6005.0
271,"Assigned, Community Structure, Covered, Guest",2,2,1,1346.0
272,"Garage, Garage - Detached, Covered",1,1,1,784.0
273,"Garage, Garage - Attached, Covered",4,3,2,2079.0
276,"Assigned, Direct Access",3,4,4,2184.0
277,"Garage, Garage - Attached, Covered",2,2,2,1257.0
278,"Underground/Basement, Garage - Attached, Covered",6,5,4,4144.0
279,"Garage, Garage - Attached, Covered",2,2,1,1008.0
281,"Garage Door Opener, Attached",3,2,2,1252.0
283,"Garage, Garage - Attached",3,1,1,1080.0
286,Garage - Two Door,3,2,2,1700.0
288,"Attached, Enclosed, Garage Door Opener, Interior Access, Side By Side, Side by Side, On Site - Mapped (Condo Only)",1,1,1,956.0
289,"Attached, Garage Door Opener, Independent, On Site (Single Family Only), Driveway",3,1,1,1848.0
291,Garage - Two Door,3,2,2,5774.587090597377
292,"Garage, Garage - Detached, Off-street, Covered",3,2,2,1272.0
293,"Direct Access, Driveway, Driveway - Combination, Garage Faces Rear",2,1,1,884.0
294,"Underground/Basement, Garage - Attached",5,6,5,5485.0
295,"Garage, Garage - Attached",4,3,2,2314.0
297,Garage,2,1,1,706.0
299,0 spaces,3,2,2,1820.0
300,"Garage, Garage - Attached, Covered",4,2,2,1154.0
302,"Garage - Two Door, Side By Side",2,1,1,1178.0
303,Community Structure,2,3,2,1688.0
305,"Garage, Garage - Attached, Covered",4,2,2,1559.0
306,Missing,2,1,1,706.0
307,"Garage, Garage - Attached",2,2,2,1540.0
309,"Direct Access, Garage, Garage - Three Door",4,5,5,3750.0
310,"Garage, Garage - Attached, Covered",3,2,2,1428.0
311,On Site (Single Family Only),6,4,4,5005.0
314,Garage,2,1,1,688.0
315,"Garage, Garage - Attached",3,2,2,1725.0
316,"Garage, Garage - Attached",1,1,2,600.0
318,"Garage Door Opener, Side By Side, Side by Side, On Site",2,2,2,1170.0
319,"Off-street, Covered",1,1,1,777.0
320,"Garage, Carport, Garage - Attached, Garage - Detached, Off-street, On-street, Covered",4,4,3,2222.0
323,"Garage, Garage - Attached, Covered",3,3,2,1748.0
324,Missing,2,1,1,1210.0
326,Covered,3,2,2,1271.0
327,"Attached, Garage Door Opener, Side By Side, Side by Side, On Site - Mapped (Condo Only)",2,2,2,1516.0
328,"Assigned, Built-In Storage, Garage Door Opener, Gated",1,1,1,754.0
329,Valet,1,2,2,1368.0
331,Garage - Attached,5,8,5,5600.0
333,Covered,6,0,2,3458.0
334,Garage - Attached,4,3,1,1952.0
335,"Garage, Garage - Attached, Covered",4,2,2,1399.0
336,"Garage, Garage - Attached, Covered",5,4,3,2253.0
337,"Assigned, Auto Driveway Gate, Controlled Entrance",0,1,1,950.0
339,0 spaces,3,2,2,1600.0
340,"Garage, Garage - Attached",4,4,3,2470.0
342,"Garage, Garage - Attached, Covered",4,2,2,1531.0
343,Carport,3,2,2,5774.587090597377
344,"Garage, Garage - Two Door, Guest, Parking Space",6,3,3,3297.0
345,Carport,3,2,1,1426.0
347,"Attached, Interior Access, Independent, On Site (Single Family Only), Driveway",3,1,1,1430.0
348,Direct Access,3,3,2,1622.0
349,Garage - Attached,3,1,1,1026.0
350,"Carport, Side Yard Access",3,1,2,1326.0
351,Assigned,2,2,2,900.0
352,"Enclosed, Garage Door Opener, Independent, On Site",3,3,3,1818.0
353,"Carport, Driveway, Off Street",3,2,2,1350.0
354,"Garage, Garage - Attached",2,1,1,1061.0
356,Attached Carport,4,4,4,3853.0
357,"Garage, Off-street, Covered",2,1,2,875.0
358,"Garage Door Opener, Attached, Garage, Space Per Unit - 1",4,2,2,1890.0
359,Carport,5,3,3,2490.0
360,"Garage, Garage - Attached, Covered",3,2,2,1180.0
362,"Attached, Garage Door Opener, Interior Access, Side By Side, Side by Side, On Site - Mapped (Condo Only)",2,2,2,1525.0
363,"Garage, Garage - Attached",3,1,1,1000.0
364,"Garage, Garage - Attached, Covered",4,2,2,2108.0
365,"Garage, Garage - Attached, Covered",3,2,2,1468.0
366,"Garage, Interior Access, Attached, Auto Door",5,4,4,3272.0
368,"Garage, Garage - Detached",2,1,1,1110.0
369,0 spaces,1,1,1,698.0
370,"Concrete, Garage - Two Door",4,5,4,3284.0
371,Carport,3,2,2,1239.0
372,Garage,3,2,2,1838.0
373,"Assigned, Guest, Underground, Valet",2,2,2,1066.0
374,"Auto Driveway Gate, Driveway, Garage - Two Door",5,6,5,4932.0
377,"Garage, Garage - Attached, Covered",5,2,2,1490.0
378,"Garage, Garage - Attached",3,2,1,2269.0
379,"Driveway, Private",2,1,1,1242.0
380,0 spaces,2,3,2,1265.0
381,Carport,3,2,2,1593.0
382,"Attached, Interior Access, On Site (Single Family Only), Driveway",3,2,2,1355.0
383,"Attached, Independent, On Site (Single Family Only), Driveway",3,3,3,1486.0
384,"Concrete, Garage",2,1,1,1400.0
385,Covered,3,3,2,3.0
386,"Attached, Converted Garage, Garage Door Opener, On Site (Single Family Only)",2,2,2,1741.0
387,"Attached, Side By Side, Side by Side, On Site",4,3,3,2626.0
388,"Driveway, Garage, Off Street",3,2,2,1488.0
390,0 spaces,3,3,2,1703.0
391,"Attached, Tandem, On Site (Single Family Only), Driveway",3,2,1,5774.587090597377
392,"Attached, Garage Door Opener, Side By Side, Side by Side, On Site",2,2,2,1238.0
393,"Garage, Garage - Attached, Covered",3,2,1,1240.0
394,"Garage - Attached, Covered",4,2,2,1728.0
395,Carport,5,4,4,2719.0
396,"Attached Garage Cabinets, Attached, Garage Door Opener, Concrete, Parking Pad",3,2,2,1933.0
397,"Garage, Garage - Attached, Covered",2,1,1,1066.0
399,Garage - Detached,3,2,2,1708.0
401,"Assigned, Community Structure, Controlled Entrance, Covered, Garage Door Opener, Garage - Two Door, Guest, Tandem",2,3,3,1873.0
405,Missing,2,1,1,1304.0
406,"Driveway, Garage",3,2,2,1426.0
407,"Interior Access, Side By Side, Side by Side, On Site - Mapped (Condo Only), Driveway",1,1,1,822.0
409,"Garage Faces Front, Garage - Single Door, Gated",3,1,1,1017.0
410,"Attached, Garage Door Opener, Interior Access, On Site (Single Family Only)",4,3,3,2041.0
411,Garage,2,1,1,850.0
413,"Garage, Garage - Attached, Covered",3,1,1,1050.0
414,Covered,4,2,2,1822.0
415,Garage - Attached,1,1,1,574.0
417,"Garage, Garage - Attached, Covered",4,2,2,1308.0
418,Garage,4,2,2,1382.0
419,"Garage, Garage - Attached, Off-street, Covered",3,2,2,1753.0
421,"Assigned, Community Structure, Covered, Garage - Two Door, Gated",2,3,2,2264.0
422,"Garage, Carport, Covered",3,2,2,1736.0
423,"Garage, Garage - Detached, Covered",3,2,2,2169.0
425,"Garage, Garage - Attached, Covered",3,2,2,1210.0
426,Missing,3,1,1,1076.0
428,"Garage, Garage - Detached, Off-street",4,2,2,1580.0
429,"Garage Door Opener, Carport",1,1,2,875.0
430,"Garage, Garage - Detached, Off-street, Covered",4,2,2,2776.0
431,"Garage - Attached, Off-street, Covered",10,6,6,3500.0
432,"Unassigned, Valet",1,1,1,1098.0
435,"Driveway, Garage - Single Door",2,2,2,1347.0
436,"Attached, Garage Door Opener, Interior Access, On Site (Single Family Only), Driveway",3,2,2,1337.0
438,"Attached, Garage Door Opener, Concrete",2,2,2,1796.0
439,"Community Structure, Guest, Valet",2,3,2,2246.0
442,"Attached, Garage Door Opener, Interior Access, On Site (Single Family Only), Driveway",4,2,2,1643.0
443,"Attached, Garage Door Opener, Interior Access, Mechanical Lift, Side By Side, Side by Side, On Site - Lease Available (Condo Only)",1,1,1,798.0
444,Garage - Attached,4,2,2,1891.0
445,"Garage Door Opener, Tandem, On Site - Mapped (Condo Only), Driveway, Shared Driveway",2,1,1,1314.0
446,"Carport, Garage - Detached, Covered",16,8,2,6462.0
447,0 spaces,3,2,2,1300.0
449,"Independent, On Site (Single Family Only)",5,4,4,1923.0
450,2 Car Garage,3,2,2,1296.0
452,"Garage Door Opener, Independent, On Site - Mapped (Condo Only)",1,1,1,749.0
453,"Detached, Asphalt",2,2,2,1082.0
454,"Side By Side, Side by Side, On Site, Driveway",1,1,1,535.0
455,"Garage Door Opener, Independent, On Site (Single Family Only)",3,1,1,1705.0
456,Concrete,3,2,2,1300.0
457,"Driveway, Driveway - Combination, Garage",3,3,2,1377.0
458,"Garage, Garage - Attached, Covered",3,2,1,1056.0
459,Garage - Two Door,4,2,2,1933.0
460,"Paved, Garage, Garage Faces Rear, Garage - Single Door",3,2,2,1510.0
461,"Attached, Interior Access, Independent, On Site (Single Family Only), Driveway",2,1,1,1400.0
462,"Concrete, Garage - Two Door",7,7,7,5560.0
463,"Tandem, On Site (Single Family Only)",2,1,1,800.0
464,Garage - Attached,3,2,2,1289.0
465,Missing,2,1,1,816.0
466,"Garage, Covered",3,1,2,1039.0
470,On Street,4,3,2,2162.0
471,"Underground/Basement, Garage - Attached",3,2,2,1900.0
474,"Driveway, Garage - Two Door, Guest, Parking Space, Private",6,11,11,12569.0
475,0 spaces,2,2,2,1211.0
476,Auto Driveway Gate,4,2,2,1491.0
477,"Garage, Garage - Attached",2,2,2,1070.0
478,"Driveway, Gated, Private",5,9,1,11000.0
479,"Garage, Garage - Attached, Covered",3,2,2,1355.0
480,Garage,4,4,4,2475.0
481,Garage,2,1,1,960.0
482,Garage,2,1,1,1019.0
485,Driveway,3,3,3,2675.0
486,"Driveway, Garage",8,6,6,3578.0
488,0 spaces,3,2,2,2300.0
489,Garage - Attached,2,1,1,814.0
490,"Garage - Attached, Covered",5,4,4,3400.0
491,Garage - Attached,3,2,2,1265.0
492,0 spaces,3,3,2,2204.0
493,0 spaces,3,2,1,1513.0
494,"Attached Carport, Driveway",3,2,2,1390.0
497,"Detached, Garage Door Opener, Independent, On Site (Single Family Only)",3,2,2,2298.0
498,Garage,3,3,3,2172.0
499,"Driveway, Concrete, Garage Faces Front",2,1,1,822.0
500,"Detached Carport, Driveway, Garage",2,1,1,792.0
501,"Attached, On Site (Single Family Only)",3,2,2,1040.0
502,"Off-street, Covered",3,3,3,1386.0
504,"Assigned, Side By Side",2,2,2,1360.0
506,Garage,4,2,2,1918.0
510,"Carport, Garage - Attached, Off-street, On-street, Covered",3,2,2,1008.0
511,"Carport, Garage",1,1,1,777.0
512,"Off-street, Covered",3,3,2,1850.0
513,0 spaces,3,2,2,1394.0
514,"Carport, Garage",3,2,1,1162.0
515,"Independent, On Site",1,1,1,614.0
516,"Carport, Covered",2,2,2,930.0
517,Garage,2,1,1,873.0
518,Garage - Attached,3,2,2,2246.0
520,"Garage, Garage - Attached, Covered",3,2,2,1371.0
521,None,2,2,2,1137.0
522,"Driveway, Garage - Two Door",4,5,4,3186.0
524,Garage,2,1,1,769.0
525,"Underground/Basement, Garage - Attached",5,3,2,2190.0
526,Garage - Attached,3,1,1,756.0
527,"Garage, Garage - Attached, Covered",2,2,1,952.0
529,"Garage, Garage - Attached, Covered",3,2,2,1626.0
530,Carport,2,2,2,1248.0
531,"Controlled Entrance, Oversized",3,6,2,8228.0
532,Garage - Attached,2,2,2,1541.0
533,"Attached, Garage Door Opener, Interior Access, Independent, On Site (Single Family Only), Driveway",5,2,2,1866.0
535,"Carport, Covered",0,0,2,4851.0
536,Garage - Attached,1,1,1,715.0
537,"Garage, Garage - Attached, Covered",4,3,2,2139.0
538,"Built-In Storage, Direct Access, Garage Door Opener, Driveway, Garage - Two Door, Guest",4,4,3,3970.0
539,"Underground/Basement, Garage - Attached",4,3,2,2400.0
542,"Underground/Basement, Garage - Attached, Covered",4,2,2,1730.0
543,"Garage - Attached, Covered",1,2,2,1020.0
544,"Garage Door Opener, Mechanical Lift, Side By Side, Size Limited, Side by Side, On Site - Mapped (Condo Only)",1,1,1,860.0
545,"Garage, Garage - Attached, Covered",4,2,2,1404.0
547,"Assigned, Parking Space, Underground",1,1,1,810.0
548,"Attached, On Site (Single Family Only), Driveway",4,3,3,1630.0
549,0 spaces,2,2,2,1200.0
550,"Garage, Garage - Attached",3,3,2,2288.0
551,0 spaces,2,2,2,1520.0
552,"Garage, Garage - Attached, Covered",3,2,2,1953.0
553,"Garage, Garage - Detached, Covered",4,6,4,5306.0
554,"Garage, Garage - Two Door",3,3,2,2007.0
555,"Independent, On Site (Single Family Only), Driveway",2,1,1,1025.0
556,"Garage, Garage - Attached, Covered",4,2,2,1522.0
557,"Independent, On Site",2,2,2,1128.0
560,"Garage Door Opener, Attached",3,2,2,1128.0
561,"Underground/Basement, Garage - Attached",4,2,2,2022.0
563,Carport,1,1,1,518.0
564,Missing,3,2,2,1299.0
565,"Garage, Garage - Attached",4,3,2,2220.0
566,"Attached, Garage Door Opener, Independent, On Site (Single Family Only), Driveway",3,2,2,1421.0
569,Driveway,4,2,2,1762.0
570,On Site (Single Family Only),4,5,5,4818.0
572,Missing,4,1,1,1332.0
573,"Carport, Garage - Attached, Covered",3,2,1,1197.0
575,"Garage, Garage - Attached",2,3,2,2046.0
576,"Attached, Garage Door Opener, Interior Access, Side By Side, Side by Side, On Site - Mapped (Condo Only)",2,2,2,1863.0
577,"Underground/Basement, Garage - Attached, Covered",4,3,3,2080.0
579,"Garage, Garage - Attached, Covered",3,4,3,3480.0
580,"Garage, Carport",2,2,1,1056.0
581,0 spaces,0,1,1,519.0
582,"Attached Carport, Covered, Driveway, Private",3,3,2,1481.0
583,"Driveway, Garage - Three Door",7,11,11,5774.587090597377
585,"Detached, On Site (Single Family Only)",3,2,2,1450.0
586,"Direct Access, Garage",4,4,4,3035.0
587,"Garage, Carport",2,2,2,912.0
588,Driveway,2,1,1,862.0
590,"Garage, Garage - Attached, Covered",3,2,2,1075.0
591,0 spaces,8,3,2,2509.0
592,Garage,3,2,2,1293.0
594,0 spaces,3,3,2,2200.0
595,"Garage, Garage - Attached, Covered",4,4,3,2970.0
596,Missing,4,2,2,931.0
598,Covered,2,2,1,1339.0
600,0 spaces,2,3,3,1409.0
601,Garage - Attached,3,3,2,1843.0
602,"Garage - Two Door, Tandem",2,3,2,1413.0
604,"Garage, Garage - Detached",1,2,2,1394.0
605,"RV, Oversized Parking, Boat",3,3,3,1947.0
606,0 spaces,2,2,2,1560.0
607,"Driveway, Garage, Open",3,2,2,912.0
608,"Garage, Carport, Covered",3,3,2,2423.0
609,Covered,2,3,2,2372.0
610,"Underground/Basement, Garage - Attached, Covered",4,3,3,2600.0
611,"Garage, Carport, Garage - Attached",3,2,2,1582.0
612,"Garage - Attached, Covered",3,3,3,2200.0
613,"Concrete, Oversized",4,2,2,1455.0
616,"Enclosed, Garage Door Opener, Interior Access, Private, Tandem, On Site",3,2,2,5774.587090597377
617,"Covered, Detached Carport",2,1,1,1236.0
618,Garage,2,1,1,1035.0
619,Driveway,3,3,2,1863.0
620,"Garage, Off-street, On-street, Covered",4,3,2,1316.0
621,"No Garage, Driveway",4,2,2,1653.0
622,"Concrete, Garage",3,4,4,2154.0
623,"Garage, Garage - Attached, Covered",2,2,2,1306.0
624,Garage - Two Door,3,3,2,1970.0
626,"Garage - Attached, Covered",4,4,3,2638.0
628,0 spaces,1,1,1,710.0
629,0 spaces,1,2,1,1232.0
630,"Attached, Enclosed, Garage Door Opener, Side By Side, Side by Side, On Site - Mapped (Condo Only), Driveway",1,1,1,730.0
632,Garage - Attached,4,2,2,1600.0
633,"Garage, Garage - Attached, Off-street, On-street, Covered",3,3,3,1507.0
634,Carport,2,2,2,1030.0
635,"Garage, Garage - Attached, Covered",4,2,2,1325.0
636,Private,4,4,3,2638.0
638,Garage,2,2,2,1547.0
639,"Independent, On Site - Mapped (Condo Only)",2,2,2,1050.0
641,"Direct Access, Garage - Two Door",3,3,3,1290.0
642,Garage - Attached,3,3,2,1312.0
