Housing_Id,elementary_school_score,elementary_school_distance,middle_school_score,middle_school_distance,high_school_score,high_school_disctance
206,9,0.7,3,2.5,7,1.2
207,4,0.3,5,1.6915926468195905,1,0.4
208,3,0.1,2,0.4,2,0.6
209,7,5.2,5,1.6915926468195905,5,4.8
211,7,0.3,6,0.9,8,0.6
212,2,0.2,3,0.3,5,0.3
213,5,0.6,5,1.6915926468195905,3,0.4
215,7,3.9,5,1.6915926468195905,4,2.6
216,8,0.2,3,2.6,6,1.9
217,6,0.9,4,1.1,5,1.1
218,4,0.4,5,1.6915926468195905,7,2.1
219,6,0.3,7,0.9,6,1.4
220,5,0.3,5,1.6915926468195905,4,1.3
222,4,0.3,3,2.2,7,0.7
224,7,4.1,5,1.6915926468195905,8,4.2
225,7,0.7,5,1.0,3,0.5
227,3,1.8,4,1.1,3,1.0
228,4,0.5,8,4.3,2,0.9
229,8,0.3,9,1.3,9,1.2
232,3,0.5,2,0.5,2,0.5
233,8,0.8,5,1.6915926468195905,9,1.2
234,6,11.8,5,1.6915926468195905,9,11.8
235,6,0.1,3,0.1,6,2.4103657099769076
237,4,0.5,5,1.6915926468195905,5,0.6
238,6,0.1,5,1.6915926468195905,6,2.4103657099769076
240,6,0.3,5,2.5,6,0.9
241,2,0.2,5,1.8,4,1.0
242,7,1.5,6,1.5,7,0.9
243,4,0.6,5,1.6915926468195905,5,12.2
244,6,1.0,5,1.6915926468195905,7,0.8
245,5,0.4,5,0.2,7,0.8
247,5,1.1524111764292648,8,5.4,7,5.5
249,7,0.1,3,1.6,2,0.3
251,3,0.4,3,0.3,6,2.4103657099769076
252,5,1.1524111764292648,4,0.3,6,2.4103657099769076
253,9,1.7,9,0.8,10,1.4
254,5,1.1524111764292648,5,1.6915926468195905,6,2.4103657099769076
255,8,0.8,5,1.6915926468195905,9,1.5
257,6,0.6,5,1.9,5,0.7
258,7,1.6,5,0.5,6,2.5
259,8,1.3,9,0.7,7,0.7
260,4,0.8,4,2.0,3,0.9
261,4,0.4,6,0.1,2,0.2
262,5,0.5,5,1.6915926468195905,6,1.5
263,3,0.2,5,1.6915926468195905,7,0.5
264,6,0.1,5,1.2,6,1.3
266,5,1.1524111764292648,5,1.6915926468195905,6,2.4103657099769076
267,9,2.7,5,1.6915926468195905,6,1.9
268,6,0.5,5,1.6915926468195905,3,1.0
269,5,0.6,5,1.6915926468195905,3,0.4
270,5,1.1524111764292648,8,1.2,7,3.2
271,6,0.9,3,0.8,3,0.7
272,4,0.7,3,0.2,7,2.7
273,7,0.4,9,1.1,8,0.6
276,6,0.6,2,0.9,6,2.2
277,6,0.2,5,1.6915926468195905,5,3.5
278,9,0.6,8,0.3,7,2.1
279,5,0.3,5,1.6915926468195905,8,0.2
281,4,0.3,3,0.9,7,3.1
283,7,0.5,4,1.7,7,2.0
286,7,0.1,3,0.7,4,0.3
288,5,1.9,3,3.6,2,1.1
289,5,1.1524111764292648,5,1.6915926468195905,3,0.6
291,6,0.2,2,0.6,6,1.0
292,2,0.3,5,1.6915926468195905,5,4.3
293,3,0.3,1,1.1,2,0.3
294,5,1.1524111764292648,5,1.6915926468195905,6,3.7
295,3,0.2,3,0.6,4,1.1
297,5,1.1524111764292648,2,0.3,2,0.5
299,7,0.0,6,1.3,8,0.9
300,5,1.1524111764292648,5,1.6915926468195905,5,0.5
302,5,0.3,5,1.6915926468195905,7,0.7
303,9,0.1,3,3.0,7,1.6
305,3,0.6,5,0.7,4,1.0
306,3,0.2,1,0.7,6,2.4103657099769076
307,8,0.2,5,1.6915926468195905,9,2.0
309,5,1.1524111764292648,5,1.6915926468195905,6,2.4103657099769076
310,6,0.6,7,0.9,9,1.9
311,7,0.2,6,0.7,8,0.6
314,6,0.6,5,1.0,4,1.8
315,5,1.2,6,1.5,7,1.3
316,8,0.2,8,3.3,7,1.9
318,5,0.3,4,0.7,7,0.8
319,8,0.4,6,1.0,8,0.6
320,2,0.3,6,1.2,8,1.7
323,6,0.7,7,0.7,8,0.5
324,2,0.2,5,1.6915926468195905,2,1.2
326,4,0.2,2,0.9,6,2.4103657099769076
327,5,1.1524111764292648,5,1.6915926468195905,2,0.8
328,2,0.8,3,0.8,3,1.0
329,2,0.5,3,0.7,3,1.1
331,9,0.2,6,0.6,8,0.3
333,5,1.1524111764292648,3,0.3,6,2.4103657099769076
334,5,0.7,2,0.2,6,1.5
335,7,1.1,6,0.8,8,1.5
336,3,0.4,4,2.9,2,1.9
337,5,1.1524111764292648,6,1.4,3,1.5
339,5,3.3,5,1.6915926468195905,9,5.7
340,8,0.7,5,1.6915926468195905,9,1.2
342,3,0.7,5,1.6915926468195905,5,0.9
343,9,0.7,3,3.7,7,2.7
344,7,0.5,5,1.6915926468195905,6,0.9
345,5,0.5,5,1.6915926468195905,6,2.4103657099769076
347,6,0.1,4,0.8,5,0.8
348,7,0.7,5,1.6915926468195905,7,1.2
349,5,0.6,5,1.6915926468195905,3,1.6
350,5,0.1,4,1.3,4,0.4
351,8,0.1,5,1.6915926468195905,6,2.4103657099769076
352,8,0.1,8,0.5,7,0.7
353,5,1.1524111764292648,2,0.6,2,0.7
354,5,0.5,6,0.4,7,2.6
356,5,1.1524111764292648,6,1.9,8,2.7
357,8,3.1,5,1.6915926468195905,7,9.2
358,7,0.2,4,1.2,7,1.4
359,8,0.4,5,1.6915926468195905,9,0.9
360,5,0.3,5,1.6915926468195905,5,0.9
362,5,1.1524111764292648,5,1.6915926468195905,2,0.8
363,2,0.1,6,1.7,8,2.0
364,7,0.6,3,0.6,4,0.7
365,5,0.1,5,1.6915926468195905,5,0.7
366,8,0.4,8,0.3,7,0.5
368,9,0.1,9,0.3,6,1.9
369,2,0.2,2,0.2,3,1.4
370,4,0.7,3,1.2,6,0.5
371,8,1.0,8,1.7,9,1.6
372,5,0.5,5,1.6915926468195905,7,1.5
373,9,1.4,5,1.6915926468195905,6,3.3
374,9,1.5,5,1.6915926468195905,6,3.7
377,7,0.2,5,1.6915926468195905,5,0.8
378,5,0.3,5,0.4,5,1.0
379,9,2.4,5,1.6915926468195905,6,4.2
380,8,0.2,8,0.3,7,0.5
381,5,2.6,6,3.3,7,2.4
382,5,1.1524111764292648,5,1.6915926468195905,6,2.4103657099769076
383,3,0.4,4,0.4,5,0.4
384,5,1.1524111764292648,5,1.6915926468195905,6,2.4103657099769076
385,3,0.1,3,0.8,6,2.4103657099769076
386,8,0.6,5,1.6915926468195905,3,0.5
387,2,0.3,5,1.6915926468195905,7,0.6
388,6,0.7,5,1.6915926468195905,5,0.5
390,9,0.9,6,3.3,7,1.7
391,8,0.6,5,1.6915926468195905,7,0.6
392,8,0.4,6,0.7,9,1.1
393,9,0.7,9,0.4,6,1.4
394,4,4.9,5,1.6915926468195905,5,35.6
395,4,4.9,5,1.6915926468195905,7,5.5
396,5,6.3,6,9.4,5,6.5
397,5,0.5,5,1.6915926468195905,4,1.4
399,6,3.5,5,1.6915926468195905,2,11.1
401,7,0.9,7,2.2,6,1.5
405,2,0.3,5,1.6915926468195905,6,2.4103657099769076
406,8,0.7,5,1.6915926468195905,7,1.2
407,2,0.4,4,0.3,3,0.3
409,3,0.5,1,0.9,6,2.4103657099769076
410,7,0.7,3,0.2,3,0.9
411,3,0.2,5,1.6915926468195905,3,0.6
413,5,0.3,5,1.6915926468195905,6,1.8
414,6,0.8,5,1.6915926468195905,5,4.6
415,4,0.2,5,0.4,6,2.4103657099769076
417,4,0.4,5,1.6915926468195905,8,2.7
418,2,0.3,3,0.2,6,2.4103657099769076
419,7,0.9,6,1.5,7,3.5
421,9,1.9,7,1.8,6,0.5
422,4,2.5,2,4.4,5,3.6
423,2,0.6,3,0.9,5,1.1
425,5,1.1524111764292648,7,0.9,8,1.1
426,5,0.3,3,0.7,6,2.4103657099769076
428,5,1.1524111764292648,5,1.6915926468195905,7,2.0
429,6,1.8,5,1.6915926468195905,6,3.5
430,8,0.7,7,0.8,9,0.9
431,2,0.1,2,0.7,6,2.4103657099769076
432,9,0.4,5,1.6915926468195905,6,2.3
435,3,0.5,5,1.6915926468195905,7,0.2
436,7,0.5,3,0.5,6,2.4103657099769076
438,5,6.3,6,9.4,5,6.4
439,5,1.1524111764292648,5,1.6915926468195905,6,2.4103657099769076
442,8,0.7,5,1.6915926468195905,3,0.6
443,3,0.8,4,0.4,3,0.2
444,3,0.1,3,1.3,6,2.4103657099769076
445,7,0.6,3,0.3,3,0.6
446,4,0.3,3,0.3,4,0.1
447,3,0.4,3,1.1,2,1.8
449,2,0.3,5,1.6915926468195905,6,2.4103657099769076
450,4,0.3,4,1.8,5,1.0
452,7,0.7,5,1.6915926468195905,7,0.9
453,5,6.2,6,9.3,5,6.3
454,5,1.7,3,3.5,2,1.0
455,9,0.3,5,1.6915926468195905,7,0.6
456,5,1.1524111764292648,5,1.6915926468195905,6,2.4103657099769076
457,5,0.4,5,1.6915926468195905,8,1.0
458,7,0.8,5,1.6915926468195905,8,10.5
459,3,0.2,5,1.6915926468195905,3,0.7
460,3,0.2,2,1.1,2,1.6
461,8,0.3,7,0.1,7,0.8
462,9,0.1,5,1.6915926468195905,6,1.9
463,2,0.5,3,0.1,5,0.6
464,9,0.1,8,0.3,7,1.3
465,5,0.4,5,1.6915926468195905,3,1.5
466,3,0.2,5,1.0,4,1.9
470,2,0.4,6,1.4,8,1.9
471,4,0.2,5,1.6915926468195905,6,2.9
474,9,3.6,5,1.6915926468195905,6,5.4
475,7,0.5,5,1.6915926468195905,7,0.7
476,4,0.4,5,1.6915926468195905,3,0.6
477,7,0.4,6,0.2,8,2.0
478,9,1.1,5,1.6915926468195905,6,4.9
479,5,0.3,5,1.6915926468195905,8,0.5
480,7,0.1,4,0.4,3,0.6
481,6,0.2,5,1.5,3,2.0
482,7,0.3,5,1.6915926468195905,7,0.8
485,8,0.5,6,0.5,8,0.3
486,3,0.2,1,0.8,6,2.4103657099769076
488,5,1.1524111764292648,5,1.6915926468195905,6,13.5
489,7,0.2,5,1.6915926468195905,3,1.1
490,8,1.3,8,3.1,8,0.6
491,5,0.6,3,0.9,3,0.4
492,5,1.1524111764292648,5,0.5,4,1.5
493,6,0.3,3,0.9,6,1.0
494,8,0.7,6,0.2,8,0.7
497,8,0.3,8,0.8,7,0.9
498,1,3.5,5,1.6915926468195905,8,22.0
499,5,0.3,3,0.3,3,1.0
500,4,0.5,7,0.1,6,2.4
501,4,0.3,5,1.6915926468195905,4,0.7
502,6,1.9,5,1.6915926468195905,7,3.1
504,6,0.5,5,1.6915926468195905,6,2.4103657099769076
506,4,0.6,5,1.6915926468195905,5,1.6
510,6,0.4,5,1.0,5,0.7
511,5,1.1524111764292648,4,0.4,4,0.7
512,6,2.3,5,6.8,8,6.9
513,6,0.3,3,0.3,5,0.3
514,4,0.3,5,1.6915926468195905,6,2.4103657099769076
515,2,0.7,5,1.6915926468195905,7,1.9
516,8,0.9,8,2.8,7,1.1
517,7,0.2,5,1.6915926468195905,3,1.3
518,3,5.6,5,1.6915926468195905,5,5.5
520,4,1.3,3,1.4,5,1.4
521,3,0.1,4,1.0,3,0.3
522,6,0.3,5,1.6915926468195905,6,2.4103657099769076
524,7,0.7,5,1.2,3,0.4
525,5,0.4,5,1.6915926468195905,6,1.4
526,7,0.1,5,1.6915926468195905,3,1.3
527,5,0.3,5,1.6915926468195905,8,1.0
529,3,0.2,2,0.5,3,1.6
530,4,2.1,5,1.6915926468195905,6,2.8
531,8,0.8,8,0.7,8,0.6
532,4,0.5,5,1.6915926468195905,3,1.5
533,9,0.6,8,1.1,7,0.9
535,8,1.8,9,1.8,10,8.1
536,3,0.3,5,0.8,3,1.2
537,7,0.6,7,1.4,8,1.3
538,9,0.5,5,1.6915926468195905,6,1.8
539,3,0.6,5,1.6915926468195905,7,1.5
542,7,3.3,5,1.6915926468195905,4,3.3
543,4,0.4,3,2.3,7,0.9
544,2,0.1,4,0.2,3,0.4
545,6,0.2,5,1.6915926468195905,8,1.0
547,7,0.9,3,1.9,7,0.9
548,4,0.6,5,1.6915926468195905,6,2.1
549,6,1.4,5,3.2,8,3.3
550,8,1.1,5,1.6915926468195905,7,1.9
551,5,1.1524111764292648,3,0.9,3,1.3
552,3,0.4,6,1.6,7,1.5
553,8,0.3,7,0.6,7,1.5
554,6,1.1,3,1.2,6,2.3
555,3,0.2,4,0.7,5,0.7
556,2,1.9,5,1.6915926468195905,5,5.3
557,6,0.3,5,1.6915926468195905,2,0.4
560,4,0.5,5,1.6915926468195905,4,0.5
561,4,0.3,4,0.5,7,0.7
563,5,1.0,6,5.2,7,2.5
564,4,0.3,5,1.6915926468195905,6,2.4103657099769076
565,8,0.7,7,0.3,5,2.2
566,2,0.2,3,0.7,6,2.4103657099769076
569,3,0.6,5,1.6915926468195905,6,2.4103657099769076
570,9,0.2,6,0.6,8,0.5
572,2,0.2,5,1.6915926468195905,3,1.2
573,3,0.5,5,1.6915926468195905,4,0.3
575,3,2.3,5,1.6915926468195905,7,2.6
576,5,1.1524111764292648,5,1.6915926468195905,2,0.8
577,7,0.4,5,1.6915926468195905,6,2.8
579,8,2.8,7,3.0,9,2.7
580,7,0.2,5,1.6915926468195905,5,0.5
581,2,1.2,7,2.3,8,3.0
582,5,0.1,5,1.6915926468195905,7,0.5
583,9,1.0,7,0.2,8,2.5
585,5,1.1524111764292648,5,1.6915926468195905,6,2.4103657099769076
586,8,0.3,2,1.0,6,2.5
587,4,0.3,5,1.6,4,1.0
588,4,0.4,3,0.9,6,2.4103657099769076
590,2,0.1,5,0.5,9,1.1
591,3,0.5,3,0.5,6,2.4103657099769076
592,4,0.6,7,0.3,6,2.5
594,7,0.3,6,0.6,8,0.7
595,8,0.7,5,1.6915926468195905,6,2.3
596,2,0.1,3,0.9,6,2.4103657099769076
598,9,1.4,5,1.6915926468195905,6,3.3
600,4,0.3,3,2.4,7,1.0
601,6,0.3,5,0.8,6,2.4103657099769076
602,9,0.5,5,1.6915926468195905,6,2.3
604,4,1.3,3,1.2,5,1.3
605,2,0.2,5,1.6915926468195905,7,15.9
606,6,0.4,6,3.7,6,0.4
607,7,0.5,5,0.2,3,0.8
608,5,1.4,3,2.6,6,2.0
609,9,1.3,5,1.6915926468195905,6,3.2
610,6,1.2,6,0.2,9,0.6
611,5,1.1524111764292648,5,1.6915926468195905,6,1.0
612,7,0.3,6,0.6,8,0.7
613,4,0.2,5,1.5,4,1.2
616,2,0.7,5,1.6915926468195905,7,1.1
617,5,1.1524111764292648,5,1.6915926468195905,3,0.9
618,4,0.6,5,1.6915926468195905,3,0.7
619,5,0.3,6,0.5,8,1.2
620,2,0.1,4,0.8,3,1.1
621,7,0.9,5,0.9,6,2.9
622,6,0.4,3,1.4,6,0.9
623,4,0.7,3,1.7,5,1.8
624,2,0.5,2,1.8,6,2.4103657099769076
626,6,0.9,2,0.7,6,2.2
628,4,0.3,5,1.0,6,1.6
629,4,0.3,5,1.6915926468195905,6,0.6
630,7,0.9,5,1.6915926468195905,7,0.2
632,5,1.1524111764292648,5,1.6915926468195905,3,0.9
633,7,0.5,6,1.0,7,1.8
634,7,0.7,5,1.6915926468195905,6,1.5
635,6,0.6,5,1.6915926468195905,8,0.7
636,6,0.9,2,0.7,6,2.2
638,8,0.7,3,0.8,7,2.0
639,2,0.1,4,0.2,3,0.4
641,5,0.5,5,1.6915926468195905,6,2.4103657099769076
642,7,0.6,4,1.4,7,1.5
643,5,0.7,3,2.8,2,0.6
646,5,0.2,5,1.6915926468195905,8,0.9
648,9,0.6,5,1.6915926468195905,6,2.6
651,3,0.5,6,0.9,8,1.0
653,2,0.2,3,0.7,6,2.4103657099769076
654,7,0.5,6,1.2,8,1.6
655,8,0.5,5,1.6915926468195905,9,1.7
657,7,1.1,5,1.6915926468195905,8,1.4
658,2,0.3,4,0.2,3,0.1
659,6,1.0,6,2.3,6,1.1
660,5,1.1524111764292648,5,1.6915926468195905,2,0.4
662,5,1.2,4,0.8,5,1.4
663,4,0.2,5,2.1,6,2.1
664,5,1.1524111764292648,5,1.6915926468195905,3,0.9
665,8,0.5,2,0.7,6,2.2
666,4,0.5,3,0.3,7,2.6
667,6,0.7,3,1.3,6,1.9
668,8,0.9,6,0.3,6,2.4103657099769076
669,7,0.2,5,0.3,3,0.6
670,9,0.1,8,0.6,7,0.4
672,5,2.4,6,3.5,7,2.5
673,7,0.3,6,0.6,8,0.7
674,6,0.7,5,1.6915926468195905,10,19.8
676,8,1.3,8,2.6,7,0.8
678,4,0.5,5,1.6915926468195905,4,0.3
679,2,0.2,4,1.0,3,0.9
684,5,1.1524111764292648,5,1.6915926468195905,6,2.4103657099769076
685,5,1.1524111764292648,6,1.3,5,1.8
686,6,0.3,7,1.3,7,1.2
687,5,1.8,5,1.6915926468195905,9,10.4
688,5,1.1524111764292648,2,0.5,6,2.4103657099769076
689,4,0.1,5,1.6915926468195905,7,0.5
690,9,0.9,5,1.6915926468195905,6,1.2
691,9,1.2,5,1.6915926468195905,6,1.3
694,8,0.2,8,1.8,7,0.7
695,4,9.9,5,1.6915926468195905,6,15.0
696,9,0.3,5,1.6915926468195905,6,2.1
698,5,1.1524111764292648,5,1.6915926468195905,6,2.4103657099769076
699,5,1.1524111764292648,5,0.5,3,0.9
700,4,0.2,4,0.4,6,2.4103657099769076
701,4,0.8,6,1.0,7,2.8
702,7,0.6,5,0.7,6,1.9
703,6,0.8,2,2.0,2,1.2
704,3,0.5,4,2.6,2,1.7
705,4,0.2,1,0.7,6,2.4103657099769076
707,5,1.1524111764292648,8,0.2,7,2.5
708,5,0.8,5,1.6915926468195905,6,0.5
709,3,0.3,3,0.8,2,1.3
710,6,0.8,3,1.3,6,2.0
712,9,1.6,7,1.8,6,0.8
713,7,0.2,6,1.0,7,2.0
714,7,1.5,6,0.7,7,2.3
716,6,0.6,5,1.0,6,1.6
717,3,0.1,5,1.6915926468195905,6,2.4103657099769076
718,8,0.5,9,1.1,10,1.5
719,7,0.4,6,1.2,10,1.6
720,5,0.4,5,1.6915926468195905,6,0.5
721,9,1.4,9,8.5,10,2.3
722,4,0.1,4,0.4,6,0.6
723,5,1.1,3,3.0,2,0.5
724,5,0.5,5,1.6915926468195905,6,2.4103657099769076
726,8,0.2,5,1.6915926468195905,9,1.7
727,6,0.3,5,1.3,6,2.4103657099769076
728,5,0.5,6,0.7,7,2.2
729,2,0.3,3,0.3,5,0.5
730,7,0.6,7,1.3,9,1.3
731,4,0.8,6,2.0,8,3.5
732,7,0.4,3,1.4,7,1.0
733,4,0.2,5,1.6915926468195905,7,2.3
734,5,1.1524111764292648,5,1.6915926468195905,6,2.4103657099769076
735,5,0.3,5,1.6915926468195905,8,0.1
736,9,1.2,5,1.6915926468195905,6,1.3
737,8,1.3,8,3.0,8,0.6
739,5,1.1524111764292648,6,1.5,2,1.0
740,1,2.3,5,1.6915926468195905,2,7.5
742,9,0.5,7,0.6,8,2.6
744,4,1.0,5,1.6915926468195905,6,1.9
745,5,1.1524111764292648,8,0.2,7,2.5
746,4,0.4,5,1.6915926468195905,5,0.4
747,6,0.3,5,1.6915926468195905,6,1.8
750,5,0.3,5,1.6915926468195905,8,1.4
751,5,1.1524111764292648,6,0.9,8,0.9
752,4,10.5,5,10.5,5,11.4
753,4,0.3,2,0.5,6,2.4103657099769076
754,5,1.1524111764292648,5,1.6915926468195905,7,1.9
755,5,1.0,5,1.8,6,1.7
756,6,0.3,2,1.2,3,2.3
757,2,0.8,3,0.8,3,1.0
758,8,0.4,6,0.5,8,2.0
759,6,0.7,7,1.8,8,1.8
761,3,0.3,2,1.2,2,1.3
762,3,0.5,2,0.8,3,2.0
763,6,0.5,5,1.6915926468195905,6,2.4103657099769076
765,7,0.3,6,0.5,2,0.3
766,5,0.1,5,1.6915926468195905,6,2.4103657099769076
767,6,0.6,5,1.4,6,0.3
768,6,0.5,3,1.2,6,1.1
769,5,1.7,3,3.5,2,0.9
770,8,0.4,5,1.6915926468195905,7,0.6
771,3,0.7,5,1.9,4,2.0
773,5,1.1524111764292648,5,1.6915926468195905,7,1.7
774,7,0.3,6,0.8,9,0.2
775,1,0.6,4,1.3,2,0.5
776,3,0.2,3,1.0,3,1.1
777,3,0.6,2,0.7,2,0.9
778,5,1.1524111764292648,5,1.6915926468195905,2,0.7
779,2,0.2,2,1.7,6,2.4103657099769076
781,5,1.1524111764292648,5,1.6915926468195905,6,10.5
782,5,1.1524111764292648,5,1.6915926468195905,3,1.1
784,7,0.9,6,1.0,7,3.7
